number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
89,0.000351247435901314,2025-07-17 16:13:21.893227,2025-07-17 16:14:51.880235,0 days 00:01:29.987008,32,116,0.00787576159401204,25,COMPLETE
90,0.00026689874357543886,2025-07-17 16:14:51.881045,2025-07-17 16:15:43.111518,0 days 00:00:51.230473,32,94,0.005414555235641485,9,COMPLETE
91,0.00025805062614381313,2025-07-17 16:15:43.111969,2025-07-17 16:17:06.036363,0 days 00:01:22.924394,32,108,0.006679612166516332,24,COMPLETE
92,0.0010368124349042773,2025-07-17 16:17:06.037195,2025-07-17 16:17:55.091781,0 days 00:00:49.054586,32,44,0.0003029802216735507,23,COMPLETE
93,0.00019836288993246853,2025-07-17 16:17:55.092394,2025-07-17 16:19:18.833334,0 days 00:01:23.740940,32,111,0.0011131489439196714,22,COMPLETE
94,0.00036245916271582246,2025-07-17 16:19:18.834151,2025-07-17 16:20:14.130015,0 days 00:00:55.295864,32,52,0.0037029035577955463,25,COMPLETE
95,0.0011383588425815105,2025-07-17 16:20:14.130643,2025-07-17 16:20:28.084844,0 days 00:00:13.954201,128,36,0.002117640325922794,7,COMPLETE
96,0.00013263114669825882,2025-07-17 16:20:28.085237,2025-07-17 16:21:55.604081,0 days 00:01:27.518844,32,120,0.0026354315240999238,24,COMPLETE
97,0.00014558732800651342,2025-07-17 16:21:55.604888,2025-07-17 16:23:25.846744,0 days 00:01:30.241856,32,128,0.002829023522905513,24,COMPLETE
98,0.00020982162095606327,2025-07-17 16:23:25.847554,2025-07-17 16:24:57.261750,0 days 00:01:31.414196,32,128,0.004966333152346433,24,COMPLETE
99,0.0002919430553447455,2025-07-17 16:24:57.262567,2025-07-17 16:26:30.679625,0 days 00:01:33.417058,32,123,0.009904529585828853,25,COMPLETE
100,0.0002906129229813814,2025-07-17 16:26:30.680474,2025-07-17 16:28:00.771088,0 days 00:01:30.090614,32,119,0.0027137957926950287,23,COMPLETE
101,0.0002932444913312793,2025-07-17 16:28:00.771921,2025-07-17 16:29:36.800477,0 days 00:01:36.028556,32,125,0.0014559842134947896,25,COMPLETE
102,0.00024344718258362263,2025-07-17 16:29:36.801320,2025-07-17 16:31:04.852286,0 days 00:01:28.050966,32,115,0.001820777038127163,24,COMPLETE
103,0.00022530581918545067,2025-07-17 16:31:04.853142,2025-07-17 16:31:49.839252,0 days 00:00:44.986110,32,121,0.0032382789838793246,5,COMPLETE
104,0.00023561783018521965,2025-07-17 16:31:49.839848,2025-07-17 16:32:51.829552,0 days 00:01:01.989704,32,112,0.004134645013619197,15,COMPLETE
105,0.00015281779633369297,2025-07-17 16:32:51.830181,2025-07-17 16:33:45.362494,0 days 00:00:53.532313,32,118,0.001298805137726117,8,COMPLETE
106,0.00019166318816132843,2025-07-17 16:33:45.363011,2025-07-17 16:35:12.245531,0 days 00:01:26.882520,32,117,0.0012858280636053546,23,COMPLETE
107,0.0002513214712962508,2025-07-17 16:35:12.246407,2025-07-17 16:36:46.985366,0 days 00:01:34.738959,32,126,0.0007777674190640781,24,COMPLETE
108,0.00027112485258840024,2025-07-17 16:36:46.986219,2025-07-17 16:37:39.315155,0 days 00:00:52.328936,32,120,0.0025888391294467137,8,COMPLETE
109,0.00018691930745262653,2025-07-17 16:37:39.315640,2025-07-17 16:38:24.780184,0 days 00:00:45.464544,64,114,0.0015083282381338312,12,COMPLETE
110,0.0006221187068149447,2025-07-17 16:38:24.780781,2025-07-17 16:39:07.908305,0 days 00:00:43.127524,64,114,0.0006008544558884432,11,COMPLETE
111,0.00022669245663564652,2025-07-17 16:39:07.908912,2025-07-17 16:39:51.279037,0 days 00:00:43.370125,64,122,0.0015119574500697473,10,COMPLETE
112,0.00019960198551416397,2025-07-17 16:39:51.279488,2025-07-17 16:40:38.609358,0 days 00:00:47.329870,64,109,0.0016964694709928707,13,COMPLETE
