number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
163,0.0003736796497832984,2025-07-18 00:28:23.676508,2025-07-18 00:31:29.799824,0 days 00:03:06.123316,16,117,0.0012255159441216024,21,COMPLETE
164,0.00038666877662763,2025-07-18 00:31:29.800795,2025-07-18 00:34:29.226038,0 days 00:02:59.425243,16,125,0.0008152317912447214,20,COMPLETE
165,0.00036484282463788986,2025-07-18 00:34:29.227024,2025-07-18 00:35:17.770929,0 days 00:00:48.543905,128,123,0.0015409153523801668,19,COMPLETE
166,0.0003339319955557585,2025-07-18 00:35:17.771650,2025-07-18 00:38:31.881061,0 days 00:03:14.109411,16,126,0.0010807576142757946,21,COMPLETE
167,0.00044485964463092387,2025-07-18 00:38:31.882032,2025-07-18 00:41:29.156172,0 days 00:02:57.274140,16,128,0.0018400148823630648,22,COMPLETE
168,0.0003586367529351264,2025-07-18 00:41:29.157175,2025-07-18 00:44:19.773308,0 days 00:02:50.616133,16,120,0.0013201369749400848,20,COMPLETE
169,0.0003406520700082183,2025-07-18 00:44:19.774299,2025-07-18 00:47:12.763422,0 days 00:02:52.989123,16,118,0.0009116283459424517,19,COMPLETE
170,0.0003729965537786484,2025-07-18 00:47:12.764374,2025-07-18 00:50:21.252524,0 days 00:03:08.488150,16,126,0.0007211661284174795,21,COMPLETE
171,0.0003757793456315994,2025-07-18 00:50:21.253530,2025-07-18 00:53:05.059099,0 days 00:02:43.805569,16,118,0.0008933482743298232,19,COMPLETE
172,0.00039139683940447867,2025-07-18 00:53:05.060097,2025-07-18 00:55:43.616703,0 days 00:02:38.556606,16,122,0.0011753124786377158,18,COMPLETE
