number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_size_layers,state
93,0.0003616269677877426,2025-07-12 16:54:21.743798,2025-07-12 16:54:36.431785,0 days 00:00:14.687987,identity,16,0.0005611450684591806,1,102,COMPLETE
94,0.0003578072355594486,2025-07-12 16:54:36.432080,2025-07-12 16:54:51.085545,0 days 00:00:14.653465,identity,16,0.0007865269967573396,1,118,COMPLETE
95,0.000369618006516248,2025-07-12 16:54:51.086047,2025-07-12 16:55:05.672330,0 days 00:00:14.586283,identity,16,0.0011276643470843155,1,96,COMPLETE
96,0.0003588770632632077,2025-07-12 16:55:05.672949,2025-07-12 16:55:20.272310,0 days 00:00:14.599361,identity,16,0.0008182230206894615,1,92,COMPLETE
97,0.000421522359829396,2025-07-12 16:55:20.272846,2025-07-12 16:55:34.872527,0 days 00:00:14.599681,identity,16,0.0009866683404842244,1,117,COMPLETE
98,0.00036046208697371185,2025-07-12 16:55:34.872861,2025-07-12 16:55:49.436587,0 days 00:00:14.563726,identity,16,0.0007622253589369746,1,67,COMPLETE
99,0.0003678237844724208,2025-07-12 16:55:49.437113,2025-07-12 16:55:54.245562,0 days 00:00:04.808449,identity,128,0.001710669310738619,2,122,COMPLETE
100,0.0003576853487174958,2025-07-12 16:55:54.245944,2025-07-12 16:56:08.809243,0 days 00:00:14.563299,identity,16,0.0006484476494025013,1,106,COMPLETE
101,0.0003585779049899429,2025-07-12 16:56:08.809821,2025-07-12 16:56:23.361931,0 days 00:00:14.552110,identity,16,0.0006337299144435219,1,105,COMPLETE
102,0.00035933515755459666,2025-07-12 16:56:23.362327,2025-07-12 16:56:37.936065,0 days 00:00:14.573738,identity,16,0.0005176769490792887,1,109,COMPLETE
103,0.00038145657163113356,2025-07-12 16:56:37.936616,2025-07-12 16:56:52.451508,0 days 00:00:14.514892,identity,16,0.0004113476482076913,1,98,COMPLETE
104,0.00036051878123544157,2025-07-12 16:56:52.451866,2025-07-12 16:57:07.023271,0 days 00:00:14.571405,identity,16,0.0009204089825092033,1,101,COMPLETE
105,0.0004191489133518189,2025-07-12 16:57:07.023860,2025-07-12 16:57:21.619867,0 days 00:00:14.596007,identity,16,0.0012163726381461942,1,113,COMPLETE
106,0.00036028874455951154,2025-07-12 16:57:21.620467,2025-07-12 16:57:36.997438,0 days 00:00:15.376971,relu,16,0.000693825999577393,1,125,COMPLETE
107,0.000515683030243963,2025-07-12 16:57:36.997805,2025-07-12 16:57:42.303970,0 days 00:00:05.306165,identity,64,0.0007962758390117992,1,106,COMPLETE
108,0.00043391381041146815,2025-07-12 16:57:42.304525,2025-07-12 16:57:56.794941,0 days 00:00:14.490416,identity,16,0.0003479628025473385,1,60,COMPLETE
109,0.0005111180944368243,2025-07-12 16:57:56.795301,2025-07-12 16:58:05.359439,0 days 00:00:08.564138,identity,32,0.001052053967711081,1,88,COMPLETE
110,0.000357969751348719,2025-07-12 16:58:05.360040,2025-07-12 16:58:19.973136,0 days 00:00:14.613096,identity,16,0.00047976034803297394,1,111,COMPLETE
111,0.0003600607451517135,2025-07-12 16:58:19.973721,2025-07-12 16:58:34.571749,0 days 00:00:14.598028,identity,16,0.0004829934793620227,1,111,COMPLETE
112,0.0003577045281417668,2025-07-12 16:58:34.572118,2025-07-12 16:58:49.151223,0 days 00:00:14.579105,identity,16,0.0006298849068297601,1,115,COMPLETE
113,0.00035950716119259596,2025-07-12 16:58:49.151801,2025-07-12 16:59:03.753673,0 days 00:00:14.601872,identity,16,0.0006289208712298165,1,115,COMPLETE
114,0.0003979211614932865,2025-07-12 16:59:03.754260,2025-07-12 16:59:18.356699,0 days 00:00:14.602439,identity,16,0.0008944134217055712,1,121,COMPLETE
115,0.0003985821967944503,2025-07-12 16:59:18.357248,2025-07-12 16:59:32.875586,0 days 00:00:14.518338,identity,16,0.000547208167323355,1,41,COMPLETE
116,0.0005142402951605618,2025-07-12 16:59:32.875963,2025-07-12 16:59:36.489634,0 days 00:00:03.613671,identity,128,0.0007273158789288559,1,11,COMPLETE
117,0.0005083219148218632,2025-07-12 16:59:36.489980,2025-07-12 16:59:51.083326,0 days 00:00:14.593346,identity,16,0.00011621088316746884,1,118,COMPLETE
118,0.0003589976695366204,2025-07-12 16:59:51.083933,2025-07-12 17:00:05.685629,0 days 00:00:14.601696,identity,16,0.0006351022720263774,1,124,COMPLETE
119,0.0003649068239610642,2025-07-12 17:00:05.686253,2025-07-12 17:00:20.245544,0 days 00:00:14.559291,identity,16,0.0006744345419524711,1,103,COMPLETE
120,0.00039501191349700093,2025-07-12 17:00:20.246120,2025-07-12 17:00:39.823404,0 days 00:00:19.577284,identity,16,0.000776171047905168,2,108,COMPLETE
121,0.0003593777946662158,2025-07-12 17:00:39.823944,2025-07-12 17:00:54.439391,0 days 00:00:14.615447,identity,16,0.0004592617160140331,1,110,COMPLETE
122,0.00035756200668402016,2025-07-12 17:00:54.439799,2025-07-12 17:01:09.020003,0 days 00:00:14.580204,identity,16,0.000517839089579311,1,112,COMPLETE
123,0.00048431940376758575,2025-07-12 17:01:09.020446,2025-07-12 17:01:23.519747,0 days 00:00:14.499301,identity,16,0.0005611548742629953,1,26,COMPLETE
124,0.00035749367089010775,2025-07-12 17:01:23.520306,2025-07-12 17:01:38.108791,0 days 00:00:14.588485,identity,16,0.0005976802129638713,1,114,COMPLETE
125,0.0004484321689233184,2025-07-12 17:01:38.109226,2025-07-12 17:01:52.712127,0 days 00:00:14.602901,identity,16,0.0008537359098034675,1,114,COMPLETE
126,1.6183620691299438,2025-07-12 17:01:52.712524,2025-07-12 17:02:19.340758,0 days 00:00:26.628234,relu,16,0.0006040396411448714,3,106,COMPLETE
127,0.00036629915121011436,2025-07-12 17:02:19.341381,2025-07-12 17:02:33.847762,0 days 00:00:14.506381,identity,16,0.0007313478559197381,1,53,COMPLETE
128,0.0003622097137849778,2025-07-12 17:02:33.848143,2025-07-12 17:02:48.405454,0 days 00:00:14.557311,identity,16,0.0009581672616762409,1,100,COMPLETE
129,0.0003586951643228531,2025-07-12 17:02:48.406023,2025-07-12 17:03:02.926048,0 days 00:00:14.520025,identity,16,0.0006671283902977333,1,94,COMPLETE
130,0.0005062823765911162,2025-07-12 17:03:02.926460,2025-07-12 17:03:08.218224,0 days 00:00:05.291764,identity,64,0.00040221752868234136,1,117,COMPLETE
131,0.0003594975278247148,2025-07-12 17:03:08.218581,2025-07-12 17:03:22.825136,0 days 00:00:14.606555,identity,16,0.0005452306346949824,1,128,COMPLETE
132,0.00035771465627476573,2025-07-12 17:03:22.825722,2025-07-12 17:03:37.415122,0 days 00:00:14.589400,identity,16,0.0005162954318212388,1,121,COMPLETE
133,0.0003599082992877811,2025-07-12 17:03:37.415509,2025-07-12 17:03:51.983524,0 days 00:00:14.568015,identity,16,0.0006002697522889839,1,120,COMPLETE
134,0.0003612395375967026,2025-07-12 17:03:51.984324,2025-07-12 17:04:06.554724,0 days 00:00:14.570400,identity,16,0.0007983793636898271,1,113,COMPLETE
