number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
72,0.0003890450461767614,2025-07-17 16:36:44.317799,2025-07-17 16:38:10.494276,0 days 00:01:26.176477,prod,16,0.006888908041927141,7,12,gaussian,COMPLETE
73,0.0007496090256609023,2025-07-17 16:38:10.495282,2025-07-17 16:39:38.110790,0 days 00:01:27.615508,prod,16,0.009769705386411648,7,12,gaussian,COMPLETE
74,0.0006217022892087698,2025-07-17 16:39:38.111764,2025-07-17 16:41:05.720031,0 days 00:01:27.608267,prod,16,0.006263887204923817,7,11,gaussian,COMPLETE
75,0.32145756483078003,2025-07-17 16:41:05.720963,2025-07-17 16:41:22.178508,0 days 00:00:16.457545,prod,128,0.0050864550708668195,7,9,gaussian,COMPLETE
76,0.003100732108578086,2025-07-17 16:41:22.179088,2025-07-17 16:42:51.269301,0 days 00:01:29.090213,prod,16,0.0068258780269775015,7,13,gaussian,COMPLETE
77,0.0004937008488923311,2025-07-17 16:42:51.270261,2025-07-17 16:44:17.147243,0 days 00:01:25.876982,prod,16,0.006964887585713504,7,12,gaussian,COMPLETE
78,0.006709275301545858,2025-07-17 16:44:17.148195,2025-07-17 16:45:53.061148,0 days 00:01:35.912953,prod,16,0.005221889034228619,8,15,gaussian,COMPLETE
79,0.002059423830360174,2025-07-17 16:45:53.062060,2025-07-17 16:47:33.674459,0 days 00:01:40.612399,prod,16,0.008561931340167339,7,16,gaussian,COMPLETE
80,0.3866432011127472,2025-07-17 16:47:33.675411,2025-07-17 16:48:26.711009,0 days 00:00:53.035598,prod,32,0.004183203090409199,8,13,gaussian,COMPLETE
81,0.0004683750157710165,2025-07-17 16:48:26.711737,2025-07-17 16:49:54.594985,0 days 00:01:27.883248,prod,16,0.006739872166223799,7,12,gaussian,COMPLETE
82,0.000448795995907858,2025-07-17 16:49:54.595899,2025-07-17 16:51:21.188015,0 days 00:01:26.592116,prod,16,0.009995916749142228,8,10,gaussian,COMPLETE
83,0.0004068698617629707,2025-07-17 16:51:21.189028,2025-07-17 16:52:47.412350,0 days 00:01:26.223322,prod,16,0.009806300473996643,8,10,gaussian,COMPLETE
84,0.024151448160409927,2025-07-17 16:52:47.413321,2025-07-17 16:54:13.497839,0 days 00:01:26.084518,prod,16,0.009469146977716626,8,10,gaussian,COMPLETE
85,0.0017270075622946024,2025-07-17 16:54:13.498789,2025-07-17 16:55:33.495711,0 days 00:01:19.996922,prod,16,0.009886485032666,8,8,gaussian,COMPLETE
86,0.049214184284210205,2025-07-17 16:55:33.496706,2025-07-17 16:56:59.143320,0 days 00:01:25.646614,prod,16,0.007656453888320044,8,10,gaussian,COMPLETE
87,0.11648592352867126,2025-07-17 16:56:59.144366,2025-07-17 16:58:28.713377,0 days 00:01:29.569011,prod,16,0.005122405067153186,8,11,gaussian,COMPLETE
88,3.242159128189087,2025-07-17 16:58:28.714320,2025-07-17 16:58:55.226864,0 days 00:00:26.512544,prod,64,0.005966162145422826,8,8,gaussian,COMPLETE
