number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
73,0.004821521230041981,2025-07-17 15:59:30.120393,2025-07-17 16:00:37.882333,0 days 00:01:07.761940,min,16,0.005924826418558836,5,11,gaussian,COMPLETE
74,0.0014670720556750894,2025-07-17 16:00:37.883188,2025-07-17 16:01:44.051504,0 days 00:01:06.168316,min,16,0.0035048169557846047,5,9,gaussian,COMPLETE
75,0.0023085298016667366,2025-07-17 16:01:44.052343,2025-07-17 16:02:51.001748,0 days 00:01:06.949405,min,16,0.004736516916817164,5,13,gaussian,COMPLETE
76,0.00042233915883116424,2025-07-17 16:02:51.002606,2025-07-17 16:04:05.775273,0 days 00:01:14.772667,min,16,0.007988702962444989,6,21,gaussian,COMPLETE
77,2.0274600982666016,2025-07-17 16:04:05.776128,2025-07-17 16:04:28.233603,0 days 00:00:22.457475,min,128,0.0018860954031950311,6,25,gaussian,COMPLETE
78,0.03655215725302696,2025-07-17 16:04:28.234241,2025-07-17 16:05:41.514126,0 days 00:01:13.279885,min,16,0.008397881302970275,6,21,sigmoid,COMPLETE
79,0.06592661887407303,2025-07-17 16:05:41.514975,2025-07-17 16:07:00.124850,0 days 00:01:18.609875,prod,16,0.004089041310104208,9,19,gaussian,COMPLETE
80,2.553187847137451,2025-07-17 16:07:00.125690,2025-07-17 16:07:30.651570,0 days 00:00:30.525880,min,64,0.00597382066396227,6,24,gaussian,COMPLETE
81,0.00031873953412286937,2025-07-17 16:07:30.652218,2025-07-17 16:08:46.211549,0 days 00:01:15.559331,min,16,0.007011607889279982,6,22,gaussian,COMPLETE
82,0.0014549329644069076,2025-07-17 16:08:46.212388,2025-07-17 16:10:02.524496,0 days 00:01:16.312108,min,16,0.006703056681094513,6,23,gaussian,COMPLETE
83,0.0008349396521225572,2025-07-17 16:10:02.525356,2025-07-17 16:11:19.518274,0 days 00:01:16.992918,min,16,0.00842085408728052,6,24,gaussian,COMPLETE
84,0.03559805080294609,2025-07-17 16:11:19.519130,2025-07-17 16:12:37.466903,0 days 00:01:17.947773,min,16,0.003273076761736053,7,21,gaussian,COMPLETE
85,0.00036123901372775435,2025-07-17 16:12:37.467765,2025-07-17 16:13:44.203767,0 days 00:01:06.736002,min,16,0.005247844712213238,6,8,gaussian,COMPLETE
86,0.09584632515907288,2025-07-17 16:13:44.204591,2025-07-17 16:14:51.231689,0 days 00:01:07.027098,min,16,0.004945735821446381,6,8,gaussian,COMPLETE
87,0.0013642886187881231,2025-07-17 16:14:51.232512,2025-07-17 16:16:00.319456,0 days 00:01:09.086944,min,16,0.005899654863050239,7,8,gaussian,COMPLETE
88,1.5904351472854614,2025-07-17 16:16:00.320297,2025-07-17 16:16:46.615634,0 days 00:00:46.295337,min,32,9.800423411511417e-05,6,21,bell,COMPLETE
89,0.09533841162919998,2025-07-17 16:16:46.616280,2025-07-17 16:17:59.419211,0 days 00:01:12.802931,min,16,0.0027170859206309393,6,18,gaussian,COMPLETE
90,0.05874158814549446,2025-07-17 16:17:59.420069,2025-07-17 16:19:18.628984,0 days 00:01:19.208915,min,16,0.004286491680646423,7,22,gaussian,COMPLETE
91,0.0005250787944532931,2025-07-17 16:19:18.629832,2025-07-17 16:20:23.487944,0 days 00:01:04.858112,min,16,0.007393255676172946,6,6,gaussian,COMPLETE
92,0.020083129405975342,2025-07-17 16:20:23.488817,2025-07-17 16:21:31.192985,0 days 00:01:07.704168,min,16,0.005051461427084341,6,9,gaussian,COMPLETE
93,0.00177750363945961,2025-07-17 16:21:31.193846,2025-07-17 16:22:39.824195,0 days 00:01:08.630349,min,16,0.0092712395744949,6,10,gaussian,COMPLETE
94,0.018199140205979347,2025-07-17 16:22:39.825043,2025-07-17 16:23:56.705180,0 days 00:01:16.880137,min,16,0.0035592103331877354,6,24,gaussian,COMPLETE
95,0.0027773668989539146,2025-07-17 16:23:56.705998,2025-07-17 16:25:02.963236,0 days 00:01:06.257238,min,16,0.006588842121935104,7,5,gaussian,COMPLETE
96,1.724744439125061,2025-07-17 16:25:02.964056,2025-07-17 16:25:25.640864,0 days 00:00:22.676808,min,128,0.0044206376030249414,6,25,gaussian,COMPLETE
