number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
70,0.0011651954846456647,2025-07-13 15:40:48.875944,2025-07-13 15:41:44.795499,0 days 00:00:55.919555,relu,prod,16,0.005261283961850951,8,7,gaussian,COMPLETE
71,0.07765783369541168,2025-07-13 15:41:44.796129,2025-07-13 15:42:40.860799,0 days 00:00:56.064670,relu,prod,16,0.005572134181543594,8,7,gaussian,COMPLETE
72,0.02860448881983757,2025-07-13 15:42:40.861421,2025-07-13 15:43:38.012787,0 days 00:00:57.151366,relu,prod,16,0.004607685004039076,8,10,gaussian,COMPLETE
73,1.6798341274261475,2025-07-13 15:43:38.013414,2025-07-13 15:44:35.366561,0 days 00:00:57.353147,relu,prod,16,0.008515884936360938,8,10,gaussian,COMPLETE
74,0.31360116600990295,2025-07-13 15:44:35.367191,2025-07-13 15:45:07.291228,0 days 00:00:31.924037,relu,prod,32,0.00048756404009180304,8,9,gaussian,COMPLETE
75,0.05817094072699547,2025-07-13 15:45:07.291799,2025-07-13 15:46:05.757883,0 days 00:00:58.466084,relu,prod,16,0.004605677355452875,9,13,gaussian,COMPLETE
76,0.0012132144765928388,2025-07-13 15:46:05.758516,2025-07-13 15:47:02.896566,0 days 00:00:57.138050,relu,prod,16,0.0068041987671682526,8,10,gaussian,COMPLETE
77,0.07408457249403,2025-07-13 15:47:02.897204,2025-07-13 15:47:59.003107,0 days 00:00:56.105903,identity,prod,16,0.007488666201207774,7,10,gaussian,COMPLETE
78,0.0037388892378658056,2025-07-13 15:47:59.003744,2025-07-13 15:48:29.822295,0 days 00:00:30.818551,relu,prod,32,0.008783712635319567,7,12,gaussian,COMPLETE
79,0.0022982803639024496,2025-07-13 15:48:29.822884,2025-07-13 15:48:58.716066,0 days 00:00:28.893182,relu,min,32,0.008623593599299489,6,12,gaussian,COMPLETE
80,1.698878526687622,2025-07-13 15:48:58.716679,2025-07-13 15:49:28.196735,0 days 00:00:29.480056,relu,min,32,0.00894641454770906,6,14,gaussian,COMPLETE
81,1.690132975578308,2025-07-13 15:49:28.197203,2025-07-13 15:49:56.995330,0 days 00:00:28.798127,relu,min,32,0.00974406632601705,6,12,gaussian,COMPLETE
82,0.13150618970394135,2025-07-13 15:49:56.995954,2025-07-13 15:50:26.690468,0 days 00:00:29.694514,relu,min,32,0.0065434408681563595,5,11,gaussian,COMPLETE
