number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
70,0.0003348850295878947,2025-07-12 18:43:52.582159,2025-07-12 18:44:30.155393,0 days 00:00:37.573234,identity,128,56,0.0032196851262274065,24,COMPLETE
71,0.0003417345869820565,2025-07-12 18:44:30.156016,2025-07-12 18:46:44.471462,0 days 00:02:14.315446,identity,16,48,0.005524305878952315,24,COMPLETE
72,0.0003669734578579664,2025-07-12 18:46:44.502968,2025-07-12 18:49:13.983637,0 days 00:02:29.480669,identity,16,47,0.0037916310156918807,25,COMPLETE
73,0.0004823408380616456,2025-07-12 18:49:13.984493,2025-07-12 18:51:21.925181,0 days 00:02:07.940688,identity,16,37,0.004596136970946976,22,COMPLETE
74,0.0005454937345348299,2025-07-12 18:51:21.926111,2025-07-12 18:52:45.991912,0 days 00:01:24.065801,identity,16,33,0.006950254665167389,14,COMPLETE
75,0.00028578698402270675,2025-07-12 18:52:45.992774,2025-07-12 18:55:12.408727,0 days 00:02:26.415953,identity,16,60,0.0026941958293108044,23,COMPLETE
76,0.0003002714365720749,2025-07-12 18:55:12.409614,2025-07-12 18:57:43.772374,0 days 00:02:31.362760,identity,16,61,0.002645385158684705,23,COMPLETE
77,0.00032126635778695345,2025-07-12 18:57:43.773235,2025-07-12 19:00:16.744482,0 days 00:02:32.971247,identity,16,68,0.002525459767797574,23,COMPLETE
78,0.0003036718990188092,2025-07-12 19:00:16.745334,2025-07-12 19:02:55.755332,0 days 00:02:39.009998,identity,16,67,0.0017488819096542997,23,COMPLETE
79,0.0003423269954510033,2025-07-12 19:02:55.756196,2025-07-12 19:05:27.508864,0 days 00:02:31.752668,identity,16,61,0.0017875575011325488,23,COMPLETE
80,0.00029984087450429797,2025-07-12 19:05:27.509702,2025-07-12 19:08:17.184537,0 days 00:02:49.674835,identity,16,71,0.001994503504979058,25,COMPLETE
81,0.00030376005452126265,2025-07-12 19:08:17.185385,2025-07-12 19:11:09.762870,0 days 00:02:52.577485,identity,16,71,0.0014641223136072636,25,COMPLETE
82,0.0003289446176495403,2025-07-12 19:11:09.763729,2025-07-12 19:13:47.673797,0 days 00:02:37.910068,identity,16,65,0.0020778870167645234,24,COMPLETE
83,0.0002906299487221986,2025-07-12 19:13:47.674666,2025-07-12 19:16:25.350868,0 days 00:02:37.676202,identity,16,59,0.002606086258502356,24,COMPLETE
84,0.0003036286507267505,2025-07-12 19:16:25.351734,2025-07-12 19:19:02.028722,0 days 00:02:36.676988,identity,16,57,0.002670593411852842,25,COMPLETE
85,0.00039711923454888165,2025-07-12 19:19:02.029597,2025-07-12 19:21:30.570284,0 days 00:02:28.540687,identity,16,54,0.0037784042033596273,24,COMPLETE
86,1.7192953824996948,2025-07-12 19:21:30.571165,2025-07-12 19:22:42.759529,0 days 00:01:12.188364,relu,64,76,0.003411440055595441,24,COMPLETE
87,0.0004165948193985969,2025-07-12 19:22:42.760401,2025-07-12 19:23:37.891905,0 days 00:00:55.131504,identity,32,58,0.0022149906483440716,11,COMPLETE
88,0.0003032617678400129,2025-07-12 19:23:37.892530,2025-07-12 19:26:22.031242,0 days 00:02:44.138712,identity,16,62,0.0031915388246691904,25,COMPLETE
89,0.000343335181241855,2025-07-12 19:26:22.032092,2025-07-12 19:26:59.599623,0 days 00:00:37.567531,identity,128,51,0.0028013656913725314,23,COMPLETE
90,0.000316404941258952,2025-07-12 19:26:59.600251,2025-07-12 19:29:28.154211,0 days 00:02:28.553960,identity,16,73,0.0024832343509201783,21,COMPLETE
91,0.000364673207513988,2025-07-12 19:29:28.155073,2025-07-12 19:32:12.318224,0 days 00:02:44.163151,identity,16,62,0.00322895613483796,25,COMPLETE
92,0.0003563870268408209,2025-07-12 19:32:12.319084,2025-07-12 19:35:00.490453,0 days 00:02:48.171369,identity,16,70,0.003971743692620851,25,COMPLETE
93,0.00037580731441266835,2025-07-12 19:35:00.491333,2025-07-12 19:38:35.323197,0 days 00:03:34.831864,identity,16,128,0.004544311470891171,24,COMPLETE
94,0.00029842319781892,2025-07-12 19:38:35.324074,2025-07-12 19:41:20.713919,0 days 00:02:45.389845,identity,16,66,0.0019734048682623863,25,COMPLETE
95,0.00030458284891210496,2025-07-12 19:41:20.714790,2025-07-12 19:43:53.175308,0 days 00:02:32.460518,identity,16,65,0.0020384536702229743,23,COMPLETE
96,0.00029264201293699443,2025-07-12 19:43:53.176187,2025-07-12 19:46:24.838383,0 days 00:02:31.662196,identity,16,58,0.0023189874050115623,24,COMPLETE
97,0.00031970549025572836,2025-07-12 19:46:24.839261,2025-07-12 19:48:49.529193,0 days 00:02:24.689932,identity,16,59,0.0015261287181771582,22,COMPLETE
98,0.0003396484244149178,2025-07-12 19:48:49.530115,2025-07-12 19:52:16.157870,0 days 00:03:26.627755,identity,16,79,0.002438604828563878,23,COMPLETE
99,1.7192953824996948,2025-07-12 19:52:16.158760,2025-07-12 19:54:58.970881,0 days 00:02:42.812121,relu,16,69,0.00127251704662814,24,COMPLETE
100,0.00035178064717911184,2025-07-12 19:54:58.971767,2025-07-12 19:56:04.842513,0 days 00:01:05.870746,identity,64,86,0.0020021492316393283,21,COMPLETE
101,0.00030132432584650815,2025-07-12 19:56:04.843157,2025-07-12 19:58:31.221787,0 days 00:02:26.378630,identity,16,56,0.002867764244588352,24,COMPLETE
102,0.0003010994987562299,2025-07-12 19:58:31.222682,2025-07-12 20:01:07.459727,0 days 00:02:36.237045,identity,16,55,0.0022758025201971657,25,COMPLETE
103,0.0003103578637819737,2025-07-12 20:01:07.460651,2025-07-12 20:03:51.198060,0 days 00:02:43.737409,identity,16,65,0.002237518200827253,25,COMPLETE
104,0.00032600248232483864,2025-07-12 20:03:51.198939,2025-07-12 20:06:23.293421,0 days 00:02:32.094482,identity,16,60,0.001667726801953906,25,COMPLETE
105,0.0003068629011977464,2025-07-12 20:06:23.294306,2025-07-12 20:08:53.583375,0 days 00:02:30.289069,identity,16,67,0.0019186506624777515,23,COMPLETE
106,0.0002953999792225659,2025-07-12 20:08:53.584245,2025-07-12 20:11:06.516362,0 days 00:02:12.932117,identity,16,54,0.0027195054995747072,22,COMPLETE
107,0.000300655112368986,2025-07-12 20:11:06.517269,2025-07-12 20:13:22.496603,0 days 00:02:15.979334,identity,16,52,0.003482735416422731,22,COMPLETE
108,0.00034094933653250337,2025-07-12 20:13:22.497478,2025-07-12 20:14:53.542863,0 days 00:01:31.045385,identity,32,74,0.003076137889196443,21,COMPLETE
109,0.0002980484568979591,2025-07-12 20:14:53.543752,2025-07-12 20:17:24.294462,0 days 00:02:30.750710,identity,16,63,0.0026777928166766296,22,COMPLETE
110,0.0009123847703449428,2025-07-12 20:17:24.295358,2025-07-12 20:17:53.533139,0 days 00:00:29.237781,identity,128,40,0.0024697358939086977,20,COMPLETE
111,0.00030765720293857157,2025-07-12 20:17:53.533777,2025-07-12 20:20:23.461323,0 days 00:02:29.927546,identity,16,63,0.0027186602307178176,22,COMPLETE
112,0.00030253591830842197,2025-07-12 20:20:23.462171,2025-07-12 20:22:38.865287,0 days 00:02:15.403116,identity,16,44,0.002562576025310045,23,COMPLETE
113,0.0003857743868138641,2025-07-12 20:22:38.866186,2025-07-12 20:25:01.201960,0 days 00:02:22.335774,identity,16,60,0.0029389593040202505,22,COMPLETE
114,0.00031927722739055753,2025-07-12 20:25:01.202863,2025-07-12 20:27:29.851911,0 days 00:02:28.649048,identity,16,58,0.00355970971233989,23,COMPLETE
115,0.00034364801831543446,2025-07-12 20:27:29.852831,2025-07-12 20:29:58.048798,0 days 00:02:28.195967,identity,16,64,0.0021396356542592453,24,COMPLETE
116,0.00032582649146206677,2025-07-12 20:29:58.049670,2025-07-12 20:32:17.054165,0 days 00:02:19.004495,identity,16,53,0.0018814594687788222,22,COMPLETE
117,0.0003431902441661805,2025-07-12 20:32:17.055066,2025-07-12 20:34:55.048854,0 days 00:02:37.993788,identity,16,71,0.0026510273894579826,23,COMPLETE
118,0.0003308453888166696,2025-07-12 20:34:55.049759,2025-07-12 20:37:16.951952,0 days 00:02:21.902193,identity,16,66,0.0014149002741707041,21,COMPLETE
119,1.7192953824996948,2025-07-12 20:37:16.952807,2025-07-12 20:39:30.726482,0 days 00:02:13.773675,relu,16,27,0.004076901055515532,24,COMPLETE
120,0.00035316619323566556,2025-07-12 20:39:30.727408,2025-07-12 20:40:28.860567,0 days 00:00:58.133159,identity,16,50,0.003246829933824317,7,COMPLETE
121,0.00030059300479479134,2025-07-12 20:40:28.861213,2025-07-12 20:42:47.009239,0 days 00:02:18.148026,identity,16,53,0.003525761254651977,22,COMPLETE
122,0.00028815402765758336,2025-07-12 20:42:47.010169,2025-07-12 20:45:09.500977,0 days 00:02:22.490808,identity,16,57,0.0030060392379864164,22,COMPLETE
123,0.00029827604885213077,2025-07-12 20:45:09.501878,2025-07-12 20:47:38.001841,0 days 00:02:28.499963,identity,16,61,0.0023737227907656,22,COMPLETE
124,0.0003066057397518307,2025-07-12 20:47:38.002701,2025-07-12 20:49:44.524760,0 days 00:02:06.522059,identity,16,56,0.003017862801763187,20,COMPLETE
125,0.00030482650618068874,2025-07-12 20:49:44.525669,2025-07-12 20:52:08.464238,0 days 00:02:23.938569,identity,16,58,0.0023586676523676647,22,COMPLETE
126,0.0002935700467787683,2025-07-12 20:52:08.465142,2025-07-12 20:54:34.452341,0 days 00:02:25.987199,identity,16,69,0.002117326877491757,21,COMPLETE
127,0.0003117325541097671,2025-07-12 20:54:34.453218,2025-07-12 20:56:57.424738,0 days 00:02:22.971520,identity,16,68,0.0023812453911231353,21,COMPLETE
128,0.00037249812157824636,2025-07-12 20:56:57.425635,2025-07-12 20:57:57.616630,0 days 00:01:00.190995,identity,64,63,0.0029740120935146668,20,COMPLETE
129,0.0003055526758544147,2025-07-12 20:57:57.617301,2025-07-12 21:00:20.309064,0 days 00:02:22.691763,identity,16,61,0.002173077969007157,21,COMPLETE
130,0.0003256895870435983,2025-07-12 21:00:20.309942,2025-07-12 21:02:33.677091,0 days 00:02:13.367149,identity,16,46,0.0017332508336397653,22,COMPLETE
131,0.000301617372315377,2025-07-12 21:02:33.678004,2025-07-12 21:04:56.785166,0 days 00:02:23.107162,identity,16,72,0.0018943944031354167,21,COMPLETE
132,0.0002785325632430613,2025-07-12 21:04:56.786061,2025-07-12 21:07:32.963572,0 days 00:02:36.177511,identity,16,67,0.002799950488769081,23,COMPLETE
133,0.00031045186915434897,2025-07-12 21:07:32.964456,2025-07-12 21:10:09.625865,0 days 00:02:36.661409,identity,16,67,0.0026925345551434797,23,COMPLETE
134,0.00028351027867756784,2025-07-12 21:10:09.626761,2025-07-12 21:12:40.664887,0 days 00:02:31.038126,identity,16,63,0.0038440598800581023,22,COMPLETE
135,0.0003975874569732696,2025-07-12 21:12:40.665754,2025-07-12 21:14:37.684085,0 days 00:01:57.018331,identity,16,16,0.0037213905810807952,23,COMPLETE
136,0.0003384143055882305,2025-07-12 21:14:37.685012,2025-07-12 21:16:13.328017,0 days 00:01:35.643005,identity,32,69,0.0033994842192346373,22,COMPLETE
137,0.00033915325184352696,2025-07-12 21:16:13.328892,2025-07-12 21:18:26.839630,0 days 00:02:13.510738,identity,16,64,0.0031929906297295703,21,COMPLETE
138,0.0003355701919645071,2025-07-12 21:18:26.840505,2025-07-12 21:19:19.040709,0 days 00:00:52.200204,identity,128,76,0.00439856370116392,22,COMPLETE
139,0.00030953207169659436,2025-07-12 21:19:19.041401,2025-07-12 21:21:53.632022,0 days 00:02:34.590621,identity,16,60,0.0040720474071158745,24,COMPLETE
140,0.00030308248824439943,2025-07-12 21:21:53.632951,2025-07-12 21:24:31.528005,0 days 00:02:37.895054,identity,16,63,0.0023736337666640087,23,COMPLETE
141,0.00029602067661471665,2025-07-12 21:24:31.528913,2025-07-12 21:26:44.679290,0 days 00:02:13.150377,identity,16,56,0.0028065404020363146,22,COMPLETE
142,0.0003237189375795424,2025-07-12 21:26:44.680171,2025-07-12 21:28:55.809636,0 days 00:02:11.129465,identity,16,57,0.0028309477383840426,21,COMPLETE
143,0.00031326714088208973,2025-07-12 21:28:55.810544,2025-07-12 21:31:11.423726,0 days 00:02:15.613182,identity,16,55,0.0025680018397060728,22,COMPLETE
144,0.0007024636724963784,2025-07-12 21:31:11.424630,2025-07-12 21:32:49.502078,0 days 00:01:38.077448,identity,16,8,0.003227791045897188,19,COMPLETE
145,1.7199456691741943,2025-07-12 21:32:49.503021,2025-07-12 21:35:20.422697,0 days 00:02:30.919676,relu,16,66,0.0021334464649603894,23,COMPLETE
146,0.00032569258473813534,2025-07-12 21:35:20.423578,2025-07-12 21:37:38.656800,0 days 00:02:18.233222,identity,16,60,0.0038024935113015784,22,COMPLETE
147,0.00045497907558456063,2025-07-12 21:37:38.657701,2025-07-12 21:40:06.031429,0 days 00:02:27.373728,identity,16,62,0.00016912252061154596,23,COMPLETE
148,0.00028605523402802646,2025-07-12 21:40:06.032333,2025-07-12 21:42:31.837635,0 days 00:02:25.805302,identity,16,58,0.0028251767757964553,24,COMPLETE
149,0.00030085581238381565,2025-07-12 21:42:31.838518,2025-07-12 21:44:50.845376,0 days 00:02:19.006858,identity,16,59,0.002856885074631058,22,COMPLETE
150,0.0003334215434733778,2025-07-12 21:44:50.846297,2025-07-12 21:47:07.719226,0 days 00:02:16.872929,identity,16,53,0.0055169094637906955,23,COMPLETE
151,0.0003036507114302367,2025-07-12 21:47:07.720213,2025-07-12 21:54:22.040994,0 days 00:07:14.320781,identity,16,108,0.0025206275341430255,24,COMPLETE
152,0.0003430963261052966,2025-07-12 21:54:22.041898,2025-07-12 21:57:13.923264,0 days 00:02:51.881366,identity,16,65,0.0030719046032909045,24,COMPLETE
153,0.00032740039750933647,2025-07-12 21:57:13.924161,2025-07-12 21:59:46.853682,0 days 00:02:32.929521,identity,16,69,0.002649707101906383,22,COMPLETE
154,0.00030338834039866924,2025-07-12 21:59:46.854581,2025-07-12 22:02:09.842258,0 days 00:02:22.987677,identity,16,57,0.002271962600940131,23,COMPLETE
155,0.00029032924794591963,2025-07-12 22:02:09.843191,2025-07-12 22:05:00.124771,0 days 00:02:50.281580,identity,16,63,0.0033405819702006915,17,COMPLETE
156,0.00030467050964944065,2025-07-12 22:05:00.125664,2025-07-12 22:07:03.594127,0 days 00:02:03.468463,identity,16,50,0.0031991750103360496,21,COMPLETE
157,0.0003715085331350565,2025-07-12 22:07:03.595045,2025-07-12 22:08:46.529676,0 days 00:01:42.934631,identity,16,63,0.003508875448948265,14,COMPLETE
158,0.00067016517277807,2025-07-12 22:08:46.530553,2025-07-12 22:09:16.668893,0 days 00:00:30.138340,identity,64,55,0.0006943031688053144,10,COMPLETE
159,0.00030962619348429143,2025-07-12 22:09:16.669576,2025-07-12 22:11:43.849864,0 days 00:02:27.180288,identity,16,59,0.002896055342265715,18,COMPLETE
