number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
93,0.0006263870163820684,2025-07-17 21:01:01.413942,2025-07-17 21:04:16.100694,0 days 00:03:14.686752,prod,16,0.0056983463671131255,5,19,gaussian,COMPLETE
94,0.0005002230755053461,2025-07-17 21:04:16.101619,2025-07-17 21:07:15.497027,0 days 00:02:59.395408,prod,16,0.004028503009662089,5,17,gaussian,COMPLETE
95,0.17072604596614838,2025-07-17 21:07:15.497970,2025-07-17 21:10:37.874387,0 days 00:03:22.376417,prod,16,0.009921115032209231,5,20,gaussian,COMPLETE
96,0.014331400394439697,2025-07-17 21:10:37.875323,2025-07-17 21:13:29.615381,0 days 00:02:51.740058,prod,16,0.008399092325850491,5,16,gaussian,COMPLETE
97,0.010070166550576687,2025-07-17 21:13:29.616278,2025-07-17 21:16:04.651140,0 days 00:02:35.034862,prod,16,0.005162655450354602,5,14,sigmoid,COMPLETE
98,0.008960479870438576,2025-07-17 21:16:04.652042,2025-07-17 21:19:19.370389,0 days 00:03:14.718347,prod,16,0.006362593090108161,5,19,gaussian,COMPLETE
99,0.00038473494350910187,2025-07-17 21:19:19.371305,2025-07-17 21:22:49.389459,0 days 00:03:30.018154,prod,16,0.007449634149524886,5,21,gaussian,COMPLETE
100,0.013597129844129086,2025-07-17 21:22:49.390414,2025-07-17 21:26:19.513317,0 days 00:03:30.122903,prod,16,0.004022382843000068,5,21,gaussian,COMPLETE
101,0.0003431654768064618,2025-07-17 21:26:19.514257,2025-07-17 21:29:26.607761,0 days 00:03:07.093504,prod,16,0.007200684704603079,5,18,gaussian,COMPLETE
102,0.0003010824730154127,2025-07-17 21:29:26.608680,2025-07-17 21:32:26.103756,0 days 00:02:59.495076,prod,16,0.007742388936347518,5,17,gaussian,COMPLETE
103,0.00029644949245266616,2025-07-17 21:32:26.104688,2025-07-17 21:36:19.101185,0 days 00:03:52.996497,prod,16,0.007618311906186462,5,24,gaussian,COMPLETE
104,0.0003301675897091627,2025-07-17 21:36:19.102145,2025-07-17 21:39:03.295455,0 days 00:02:44.193310,prod,16,0.008736870425092275,5,15,gaussian,COMPLETE
105,0.008386434987187386,2025-07-17 21:39:03.296328,2025-07-17 21:42:07.857480,0 days 00:03:04.561152,prod,16,0.008885375750832938,9,15,gaussian,COMPLETE
106,0.0027093139942735434,2025-07-17 21:42:07.858429,2025-07-17 21:46:00.981394,0 days 00:03:53.122965,prod,16,0.004884563893636847,5,24,gaussian,COMPLETE
107,0.0006319385138340294,2025-07-17 21:46:00.982358,2025-07-17 21:46:58.464294,0 days 00:00:57.481936,prod,64,0.008599138874571312,5,16,gaussian,COMPLETE
108,3.2968435287475586,2025-07-17 21:46:58.464947,2025-07-17 21:50:59.331875,0 days 00:04:00.866928,prod,16,2.6196785955514285e-05,5,25,gaussian,COMPLETE
109,0.00877205841243267,2025-07-17 21:50:59.332801,2025-07-17 21:53:59.110612,0 days 00:02:59.777811,prod,16,0.009992872341555655,5,17,gaussian,COMPLETE
110,0.04794488847255707,2025-07-17 21:53:59.111557,2025-07-17 21:56:49.498765,0 days 00:02:50.387208,prod,16,0.007701904082569065,5,16,sigmoid,COMPLETE
111,0.0007465424132533371,2025-07-17 21:56:49.499722,2025-07-17 22:00:42.451973,0 days 00:03:52.952251,prod,16,0.006026469541996141,5,24,gaussian,COMPLETE
112,0.0017949887551367283,2025-07-17 22:00:42.452922,2025-07-17 22:03:18.854638,0 days 00:02:36.401716,prod,16,0.006922262362221823,5,14,gaussian,COMPLETE
113,0.010128751397132874,2025-07-17 22:03:18.855641,2025-07-17 22:06:56.483298,0 days 00:03:37.627657,prod,16,0.005121592457382815,5,22,gaussian,COMPLETE
114,0.0006349139148369431,2025-07-17 22:06:56.484293,2025-07-17 22:09:40.509135,0 days 00:02:44.024842,prod,16,0.008542229974166591,5,15,gaussian,COMPLETE
115,0.0018223904771730304,2025-07-17 22:09:40.510124,2025-07-17 22:12:01.382839,0 days 00:02:20.872715,prod,16,0.00567778714140672,5,12,gaussian,COMPLETE
116,0.0008191412780433893,2025-07-17 22:12:01.383758,2025-07-17 22:14:29.986588,0 days 00:02:28.602830,prod,16,0.004428858285734844,5,13,gaussian,COMPLETE
117,0.0003063624899368733,2025-07-17 22:14:29.987522,2025-07-17 22:17:21.711500,0 days 00:02:51.723978,prod,16,0.007279529365023715,5,16,gaussian,COMPLETE
118,0.10897248983383179,2025-07-17 22:17:21.712444,2025-07-17 22:20:06.401632,0 days 00:02:44.689188,prod,16,0.007203242815241139,5,15,gaussian,COMPLETE
119,0.006911381613463163,2025-07-17 22:20:06.402586,2025-07-17 22:23:06.359898,0 days 00:02:59.957312,prod,16,0.009953237405981348,5,17,gaussian,COMPLETE
120,0.000260208616964519,2025-07-17 22:23:06.360829,2025-07-17 22:24:43.167160,0 days 00:01:36.806331,prod,32,0.007870490429884284,5,16,gaussian,COMPLETE
121,0.007156701758503914,2025-07-17 22:24:43.168105,2025-07-17 22:26:19.928361,0 days 00:01:36.760256,prod,32,0.007704056080446681,5,16,gaussian,COMPLETE
122,0.0077238790690898895,2025-07-17 22:26:19.929317,2025-07-17 22:28:08.414129,0 days 00:01:48.484812,prod,32,0.006086222560720932,8,18,gaussian,COMPLETE
123,0.0006181529024615884,2025-07-17 22:28:08.415025,2025-07-17 22:29:40.888933,0 days 00:01:32.473908,prod,32,0.008827773777515511,5,15,gaussian,COMPLETE
124,0.01889905147254467,2025-07-17 22:29:40.889801,2025-07-17 22:31:18.028323,0 days 00:01:37.138522,prod,32,0.006794589041626417,5,16,gaussian,COMPLETE
125,0.000560600368771702,2025-07-17 22:31:18.029333,2025-07-17 22:34:17.990496,0 days 00:02:59.961163,prod,16,0.0052944095459283745,5,17,gaussian,COMPLETE
126,0.0007737971027381718,2025-07-17 22:34:17.991418,2025-07-17 22:35:50.512579,0 days 00:01:32.521161,prod,32,0.007823476042412418,5,15,gaussian,COMPLETE
127,0.0005809522699564695,2025-07-17 22:35:50.513495,2025-07-17 22:38:50.572753,0 days 00:03:00.059258,prod,16,0.0046668302870916025,5,17,gaussian,COMPLETE
128,0.11749739199876785,2025-07-17 22:38:50.573659,2025-07-17 22:41:42.409467,0 days 00:02:51.835808,prod,16,0.005934203023717622,5,16,gaussian,COMPLETE
129,0.0937671810388565,2025-07-17 22:41:42.410460,2025-07-17 22:42:45.050323,0 days 00:01:02.639863,prod,64,0.008857128210556708,5,18,gaussian,COMPLETE
130,0.0019621180836111307,2025-07-17 22:42:45.051257,2025-07-17 22:45:29.002380,0 days 00:02:43.951123,prod,16,0.003746517473455574,5,15,gaussian,COMPLETE
131,0.00032769996323622763,2025-07-17 22:45:29.003306,2025-07-17 22:48:05.212179,0 days 00:02:36.208873,prod,16,0.006751468962162537,5,14,gaussian,COMPLETE
132,0.02826179563999176,2025-07-17 22:48:05.213084,2025-07-17 22:50:41.549181,0 days 00:02:36.336097,prod,16,0.0068748173860881555,5,14,gaussian,COMPLETE
133,0.0003428054042160511,2025-07-17 22:50:41.550119,2025-07-17 22:53:17.794621,0 days 00:02:36.244502,prod,16,0.007867475165012055,5,14,gaussian,COMPLETE
134,0.04978710412979126,2025-07-17 22:53:17.795562,2025-07-17 22:55:54.021135,0 days 00:02:36.225573,prod,16,0.00817423442649707,5,14,gaussian,COMPLETE
135,0.09309763461351395,2025-07-17 22:55:54.022081,2025-07-17 22:58:30.305107,0 days 00:02:36.283026,prod,16,0.005783157504754899,5,14,gaussian,COMPLETE
136,0.003523000283166766,2025-07-17 22:58:30.306090,2025-07-17 23:01:20.760844,0 days 00:02:50.454754,prod,16,0.005052568710306863,5,16,sigmoid,COMPLETE
137,0.0003440507862251252,2025-07-17 23:01:20.761800,2025-07-17 23:04:04.741720,0 days 00:02:43.979920,prod,16,0.00993403976603489,5,15,gaussian,COMPLETE
138,0.0017410239670425653,2025-07-17 23:04:04.746787,2025-07-17 23:06:48.698184,0 days 00:02:43.951397,prod,16,0.006593381622613635,5,15,gaussian,COMPLETE
139,0.0002394216862739995,2025-07-17 23:06:48.699162,2025-07-17 23:09:48.186767,0 days 00:02:59.487605,prod,16,0.00788435641117107,5,17,gaussian,COMPLETE
140,0.0006611120770685375,2025-07-17 23:09:48.187689,2025-07-17 23:12:51.273519,0 days 00:03:03.085830,prod,16,0.008818666670718104,5,17,bell,COMPLETE
141,0.0006179263000376523,2025-07-17 23:12:51.274503,2025-07-17 23:15:43.022071,0 days 00:02:51.747568,prod,16,0.008125034151391528,5,16,gaussian,COMPLETE
142,0.00034265583963133395,2025-07-17 23:15:43.023031,2025-07-17 23:18:42.470172,0 days 00:02:59.447141,prod,16,0.007390160822761564,5,17,gaussian,COMPLETE
143,0.00041660532588139176,2025-07-17 23:18:42.471168,2025-07-17 23:21:41.917617,0 days 00:02:59.446449,prod,16,0.006700399013266375,5,17,gaussian,COMPLETE
144,0.012369409203529358,2025-07-17 23:21:41.918573,2025-07-17 23:24:41.244830,0 days 00:02:59.326257,prod,16,0.005232818227213993,5,17,gaussian,COMPLETE
