number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
85,4.135888048040215e-06,2025-07-10 21:07:18.141671,2025-07-10 21:07:46.459698,0 days 00:00:28.318027,relu,prod,16,0.007957887995479734,3,sigmoid,True,6.579161419756804e-05,COMPLETE
86,5.044308636570349e-05,2025-07-10 21:07:46.460320,2025-07-10 21:07:56.209373,0 days 00:00:09.749053,identity,prod,64,0.009255658763671033,2,bell,True,1.8705600492526815e-05,COMPLETE
87,5.3124922487768345e-06,2025-07-10 21:07:56.209785,2025-07-10 21:08:24.431590,0 days 00:00:28.221805,relu,prod,16,0.006383282046941859,3,sigmoid,False,2.988479979418201e-05,COMPLETE
88,0.0010881132911890745,2025-07-10 21:08:24.432195,2025-07-10 21:08:30.450192,0 days 00:00:06.017997,relu,min,128,0.007975035478537526,5,sigmoid,False,2.3557521091227024e-05,COMPLETE
89,1.2362761497497559,2025-07-10 21:08:30.450595,2025-07-10 21:08:39.944015,0 days 00:00:09.493420,relu,prod,64,0.009991380639380662,3,gaussian,True,1.5286853480026723e-05,COMPLETE
90,4.161313427175628e-06,2025-07-10 21:08:39.944392,2025-07-10 21:09:10.736586,0 days 00:00:30.792194,relu,prod,16,0.006812923045762615,2,bell,False,0.00032851507769709884,COMPLETE
91,4.36971140516107e-06,2025-07-10 21:09:10.737212,2025-07-10 21:09:41.924526,0 days 00:00:31.187314,relu,prod,16,0.0076930379329692425,4,gaussian,False,1.2633081385108897e-05,COMPLETE
92,4.487906608119374e-06,2025-07-10 21:09:41.925134,2025-07-10 21:10:12.923521,0 days 00:00:30.998387,relu,prod,16,0.005062948393620412,4,gaussian,False,1.4342407694405792e-05,COMPLETE
93,3.7988086205587024e-06,2025-07-10 21:10:12.924146,2025-07-10 21:10:44.002426,0 days 00:00:31.078280,relu,prod,16,0.003946309617660295,4,gaussian,False,1.7050797239746284e-05,COMPLETE
94,4.276754225429613e-06,2025-07-10 21:10:44.003047,2025-07-10 21:11:15.151433,0 days 00:00:31.148386,relu,prod,16,0.009104624932280094,4,gaussian,False,1.67925743942908e-05,COMPLETE
95,4.23962228524033e-06,2025-07-10 21:11:15.152043,2025-07-10 21:11:44.538178,0 days 00:00:29.386135,relu,prod,16,0.004037251992491877,3,gaussian,False,2.028362820342271e-05,COMPLETE
96,0.0031479536555707455,2025-07-10 21:11:44.538795,2025-07-10 21:11:55.098022,0 days 00:00:10.559227,relu,prod,64,0.005757157112262167,6,sigmoid,False,1.0737887418365589e-05,COMPLETE
97,4.4091889321862254e-06,2025-07-10 21:11:55.098401,2025-07-10 21:12:12.522305,0 days 00:00:17.423904,relu,prod,32,0.008156097184479063,4,gaussian,False,1.2044346583739002e-05,COMPLETE
98,4.107090717297979e-06,2025-07-10 21:12:12.522913,2025-07-10 21:12:40.782704,0 days 00:00:28.259791,relu,prod,16,0.00461061514572239,3,sigmoid,False,3.400846332447068e-05,COMPLETE
99,4.138226358918473e-06,2025-07-10 21:12:40.783351,2025-07-10 21:13:13.294059,0 days 00:00:32.510708,identity,prod,16,0.00716255411658493,5,gaussian,True,1.7516447478202265e-05,COMPLETE
100,1.5122175682336092e-05,2025-07-10 21:13:13.294686,2025-07-10 21:13:23.073301,0 days 00:00:09.778615,relu,prod,64,0.009999102712397743,2,bell,False,4.146116551633947e-05,COMPLETE
101,5.159983629710041e-06,2025-07-10 21:13:23.073907,2025-07-10 21:13:54.174928,0 days 00:00:31.101021,relu,prod,16,0.008304626861163381,4,gaussian,False,1.439679293988607e-05,COMPLETE
102,9.197182407660875e-06,2025-07-10 21:13:54.175539,2025-07-10 21:14:25.196961,0 days 00:00:31.021422,relu,prod,16,0.006152219043160461,4,gaussian,False,1.2211976489374719e-05,COMPLETE
103,4.8432252697239164e-06,2025-07-10 21:14:25.197575,2025-07-10 21:14:56.217069,0 days 00:00:31.019494,relu,prod,16,0.002762465622659225,4,gaussian,False,1.56023721480838e-05,COMPLETE
104,4.193455879430985e-06,2025-07-10 21:14:56.217691,2025-07-10 21:15:25.547047,0 days 00:00:29.329356,relu,prod,16,0.009039750602366519,3,gaussian,False,1.3743558100980591e-05,COMPLETE
105,4.8004162636061665e-06,2025-07-10 21:15:25.547657,2025-07-10 21:15:55.497903,0 days 00:00:29.950246,relu,prod,16,0.007142875478887546,4,sigmoid,False,2.1880161702212266e-05,COMPLETE
106,4.192429969407385e-06,2025-07-10 21:15:55.498526,2025-07-10 21:16:27.073465,0 days 00:00:31.574939,relu,min,16,0.00545178437170657,5,gaussian,False,1.1043664503364097e-05,COMPLETE
107,1.897762922453694e-05,2025-07-10 21:16:27.074088,2025-07-10 21:16:36.132808,0 days 00:00:09.058720,relu,prod,64,0.006473770327412734,3,sigmoid,False,1.8706475013812776e-05,COMPLETE
108,0.002536993706598878,2025-07-10 21:16:36.133186,2025-07-10 21:16:42.239758,0 days 00:00:06.106572,relu,prod,128,0.008179349829316876,4,gaussian,False,0.0009453558175607725,COMPLETE
109,4.132124104216928e-06,2025-07-10 21:16:42.240275,2025-07-10 21:17:10.547916,0 days 00:00:28.307641,relu,prod,16,0.009299237607817723,3,sigmoid,True,1.5515485785790354e-05,COMPLETE
110,9.540743121760897e-06,2025-07-10 21:17:10.548390,2025-07-10 21:17:41.332352,0 days 00:00:30.783962,relu,prod,16,0.0074352986441435665,2,bell,False,1.0074514358152444e-05,COMPLETE
111,4.032939159515081e-06,2025-07-10 21:17:41.332992,2025-07-10 21:18:15.700347,0 days 00:00:34.367355,relu,prod,16,0.005160186075372495,6,gaussian,False,1.4199999152742375e-05,COMPLETE
112,4.130541128688492e-06,2025-07-10 21:18:15.700944,2025-07-10 21:18:50.097130,0 days 00:00:34.396186,relu,prod,16,0.006026561443252548,6,gaussian,False,1.3065183086930058e-05,COMPLETE
113,1.1793134945037309e-05,2025-07-10 21:18:50.097751,2025-07-10 21:19:24.575449,0 days 00:00:34.477698,relu,prod,16,0.006690820032006231,6,gaussian,False,1.6569291089251136e-05,COMPLETE
114,5.418814907898195e-06,2025-07-10 21:19:24.576058,2025-07-10 21:19:57.438691,0 days 00:00:32.862633,relu,prod,16,0.0036027756207977885,5,gaussian,False,2.0744368168661478e-05,COMPLETE
115,1.0856412649154663,2025-07-10 21:19:57.439334,2025-07-10 21:20:08.270072,0 days 00:00:10.830738,relu,prod,64,0.0005643998398048756,6,gaussian,False,2.7543731071033996e-05,COMPLETE
