number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
114,4.052909844176611e-06,2025-07-15 02:47:32.963774,2025-07-15 02:50:54.888309,0 days 00:03:21.924535,identity,min,0.008730916765440865,8,17,bell,COMPLETE
115,4.2859071982093155e-05,2025-07-15 02:50:54.889275,2025-07-15 02:53:58.676271,0 days 00:03:03.786996,identity,prod,0.0007327592375725558,8,15,bell,COMPLETE
116,0.001725305337458849,2025-07-15 02:53:58.677188,2025-07-15 02:57:09.784902,0 days 00:03:11.107714,relu,min,0.0004765800322365841,8,16,bell,COMPLETE
117,0.04532437399029732,2025-07-15 02:57:09.785881,2025-07-15 03:00:25.258934,0 days 00:03:15.473053,identity,min,0.006814238393061829,8,17,gaussian,COMPLETE
118,5.150946890353225e-06,2025-07-15 03:00:25.259859,2025-07-15 03:03:24.490885,0 days 00:02:59.231026,identity,min,0.008516699180054285,6,15,bell,COMPLETE
119,4.791539140569512e-06,2025-07-15 03:03:24.491785,2025-07-15 03:06:20.242034,0 days 00:02:55.750249,identity,prod,0.009483413265219091,5,16,bell,COMPLETE
120,4.0208810787589755e-06,2025-07-15 03:06:20.242956,2025-07-15 03:09:19.717115,0 days 00:02:59.474159,identity,min,0.006131328442595905,6,15,bell,COMPLETE
121,3.6120320601185085e-06,2025-07-15 03:09:19.718026,2025-07-15 03:12:13.621280,0 days 00:02:53.903254,identity,min,0.007952663410037189,8,14,bell,COMPLETE
122,0.0004170807369519025,2025-07-15 03:12:13.622189,2025-07-15 03:14:59.298820,0 days 00:02:45.676631,identity,min,0.007603169260746105,8,13,bell,COMPLETE
123,3.612914042605553e-06,2025-07-15 03:14:59.299740,2025-07-15 03:17:33.668265,0 days 00:02:34.368525,identity,min,0.00841523789131376,8,11,bell,COMPLETE
124,3.5238244890933856e-06,2025-07-15 03:17:33.669161,2025-07-15 03:20:10.858329,0 days 00:02:37.189168,identity,min,0.0068811500035505365,8,12,bell,COMPLETE
125,0.0008075782097876072,2025-07-15 03:20:10.859297,2025-07-15 03:22:48.210207,0 days 00:02:37.350910,identity,min,0.00639822889057353,8,12,bell,COMPLETE
126,7.13445624569431e-05,2025-07-15 03:22:48.211158,2025-07-15 03:25:59.524295,0 days 00:03:11.313137,identity,min,0.002234441631494838,8,16,bell,COMPLETE
127,6.129283974587452e-06,2025-07-15 03:25:59.525237,2025-07-15 03:28:22.948190,0 days 00:02:23.422953,identity,prod,0.0051595613373245095,6,10,bell,COMPLETE
128,3.4113281799363904e-06,2025-07-15 03:28:22.949133,2025-07-15 03:31:51.336821,0 days 00:03:28.387688,identity,min,0.007079481705028356,7,18,bell,COMPLETE
129,3.6870183066639584e-06,2025-07-15 03:31:51.337765,2025-07-15 03:35:19.460680,0 days 00:03:28.122915,identity,min,0.007036874128501604,7,18,bell,COMPLETE
130,4.158583124080906e-06,2025-07-15 03:35:19.461620,2025-07-15 03:39:39.359935,0 days 00:04:19.898315,identity,min,0.005761687388153229,7,24,bell,COMPLETE
131,0.00040209421422332525,2025-07-15 03:39:39.360879,2025-07-15 03:42:59.285552,0 days 00:03:19.924673,identity,min,0.009295825313216276,7,17,bell,COMPLETE
132,4.883415840595262e-06,2025-07-15 03:42:59.286435,2025-07-15 03:46:10.252694,0 days 00:03:10.966259,identity,min,0.009987547972895833,7,16,bell,COMPLETE
133,3.5041671253566165e-06,2025-07-15 03:46:10.253598,2025-07-15 03:49:26.610024,0 days 00:03:16.356426,identity,min,0.007210389706874707,6,17,bell,COMPLETE
134,0.0009601586498320103,2025-07-15 03:49:26.610983,2025-07-15 03:52:46.312929,0 days 00:03:19.701946,identity,min,0.0070703906486579106,7,17,bell,COMPLETE
135,6.159202257549623e-06,2025-07-15 03:52:46.313860,2025-07-15 03:56:14.522658,0 days 00:03:28.208798,identity,min,0.006408380112034731,7,18,bell,COMPLETE
136,3.791334165725857e-06,2025-07-15 03:56:14.523600,2025-07-15 03:59:44.445189,0 days 00:03:29.921589,relu,prod,0.0085352488593731,7,18,bell,COMPLETE
137,0.012240484356880188,2025-07-15 03:59:44.446119,2025-07-15 04:02:32.639499,0 days 00:02:48.193380,identity,min,0.007614782006172334,7,14,sigmoid,COMPLETE
138,3.7333752516133245e-06,2025-07-15 04:02:32.640433,2025-07-15 04:06:09.088283,0 days 00:03:36.447850,identity,min,0.005829214818617827,8,19,bell,COMPLETE
139,1.2306761163927149e-05,2025-07-15 04:06:09.089260,2025-07-15 04:09:21.207558,0 days 00:03:12.118298,identity,min,0.006901252519553648,6,17,gaussian,COMPLETE
140,3.6223009374225512e-06,2025-07-15 04:09:21.208515,2025-07-15 04:12:28.018025,0 days 00:03:06.809510,identity,min,0.0047789950500896515,9,15,bell,COMPLETE
141,3.838788416032912e-06,2025-07-15 04:12:28.019072,2025-07-15 04:15:35.466057,0 days 00:03:07.446985,identity,min,0.009218342159799763,6,16,bell,COMPLETE
142,9.028348722495139e-05,2025-07-15 04:15:35.467030,2025-07-15 04:18:42.967680,0 days 00:03:07.500650,identity,min,0.00818850431835092,6,16,bell,COMPLETE
143,3.7667261949536623e-06,2025-07-15 04:18:42.968656,2025-07-15 04:21:59.188860,0 days 00:03:16.220204,identity,min,0.008923624866404196,6,17,bell,COMPLETE
144,3.852578629448544e-06,2025-07-15 04:21:59.189782,2025-07-15 04:24:58.207329,0 days 00:02:59.017547,identity,min,0.007507894027741864,6,15,bell,COMPLETE
145,3.774075594265014e-06,2025-07-15 04:24:58.208288,2025-07-15 04:27:57.104296,0 days 00:02:58.896008,identity,min,0.009960948937803473,6,15,bell,COMPLETE
146,3.440560703893425e-06,2025-07-15 04:27:57.105301,2025-07-15 04:31:43.639722,0 days 00:03:46.534421,identity,prod,0.008294402178983126,7,20,bell,COMPLETE
147,3.7886036352574592e-06,2025-07-15 04:31:43.640697,2025-07-15 04:36:04.278947,0 days 00:04:20.638250,identity,prod,0.0065244824564459165,7,24,bell,COMPLETE
148,5.187970145925647e-06,2025-07-15 04:36:04.279900,2025-07-15 04:39:50.988671,0 days 00:03:46.708771,identity,prod,0.008202516048292682,7,20,bell,COMPLETE
149,0.005885888822376728,2025-07-15 04:39:50.989561,2025-07-15 04:44:03.773922,0 days 00:04:12.784361,identity,prod,0.0002105667033369347,7,23,bell,COMPLETE
150,0.04170575737953186,2025-07-15 04:44:03.774906,2025-07-15 04:48:33.299654,0 days 00:04:29.524748,identity,prod,0.0055079844031643965,7,25,bell,COMPLETE
151,0.05462166294455528,2025-07-15 04:48:33.300626,2025-07-15 04:51:59.086098,0 days 00:03:25.785472,identity,prod,0.00885850180170841,6,18,bell,COMPLETE
152,4.004197762697004e-06,2025-07-15 04:51:59.087026,2025-07-15 04:55:52.970304,0 days 00:03:53.883278,identity,min,0.00744958046531026,8,21,bell,COMPLETE
153,4.013047600892605e-06,2025-07-15 04:55:52.971274,2025-07-15 04:59:00.448144,0 days 00:03:07.476870,identity,min,0.008182057645199772,6,16,bell,COMPLETE
154,3.8112768834253075e-06,2025-07-15 04:59:00.449083,2025-07-15 05:02:21.137056,0 days 00:03:20.687973,identity,prod,0.009060140007426772,7,17,bell,COMPLETE
155,3.427675437706057e-06,2025-07-15 05:02:21.138001,2025-07-15 05:06:03.341479,0 days 00:03:42.203478,identity,min,0.007165692911828396,9,19,bell,COMPLETE
156,4.018613708467456e-06,2025-07-15 05:06:03.342430,2025-07-15 05:09:36.645809,0 days 00:03:33.303379,identity,min,0.006919625144338535,9,18,bell,COMPLETE
157,3.927834313799394e-06,2025-07-15 05:09:36.646843,2025-07-15 05:13:18.702192,0 days 00:03:42.055349,identity,min,0.00630005192895144,9,19,bell,COMPLETE
158,3.6582539451046614e-06,2025-07-15 05:13:18.703172,2025-07-15 05:17:00.740000,0 days 00:03:42.036828,identity,min,0.007534948275558945,9,19,bell,COMPLETE
