number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
108,2.0076355212950148e-05,2025-07-04 12:12:23.252866,2025-07-04 12:12:31.657286,0 days 00:00:08.404420,identity,64,95,0.00020723652925105207,13,False,1.8080693557665176e-05,COMPLETE
109,6.948429017938906e-06,2025-07-04 12:12:31.657607,2025-07-04 12:12:43.093672,0 days 00:00:11.436065,identity,32,92,0.00027204962599651624,12,False,1.5856712544745804e-05,COMPLETE
110,1.0225941878161393e-05,2025-07-04 12:12:43.093976,2025-07-04 12:13:04.738319,0 days 00:00:21.644343,identity,16,101,0.0003112419065774329,16,False,1.9716998703793248e-05,COMPLETE
111,1.0309643585060257e-05,2025-07-04 12:13:04.738617,2025-07-04 12:13:16.059842,0 days 00:00:11.321225,identity,32,79,0.0010181198717959454,13,False,1.5445734199323312e-05,COMPLETE
112,5.464370588015299e-06,2025-07-04 12:13:16.060138,2025-07-04 12:13:27.731357,0 days 00:00:11.671219,identity,32,83,0.0004719699919394982,14,False,1.3416464262318044e-05,COMPLETE
113,7.51351535654976e-06,2025-07-04 12:13:27.731657,2025-07-04 12:13:40.289456,0 days 00:00:12.557799,identity,32,94,0.0002958703548735896,15,False,1.3045547586238651e-05,COMPLETE
114,6.255568678170675e-06,2025-07-04 12:13:40.289760,2025-07-04 12:13:52.296252,0 days 00:00:12.006492,identity,32,90,0.00022865336957026284,14,False,1.743186050109977e-05,COMPLETE
115,5.085352768219309e-06,2025-07-04 12:13:52.296549,2025-07-04 12:14:03.795418,0 days 00:00:11.498869,identity,32,85,0.00044239010357583034,13,False,1.138278758883766e-05,COMPLETE
116,4.896762220596429e-06,2025-07-04 12:14:03.795734,2025-07-04 12:14:16.855760,0 days 00:00:13.060026,identity,32,119,0.0004857770188965236,12,False,1.1282647968311829e-05,COMPLETE
117,6.218085218279157e-06,2025-07-04 12:14:16.856063,2025-07-04 12:14:29.938014,0 days 00:00:13.081951,identity,32,113,0.0004641858434695804,11,False,1.1103272237095626e-05,COMPLETE
118,4.5212932491267566e-06,2025-07-04 12:14:29.938309,2025-07-04 12:14:43.605551,0 days 00:00:13.667242,identity,32,127,0.0003613387554282726,11,False,1.1884867769971442e-05,COMPLETE
119,2.669146124389954e-05,2025-07-04 12:14:43.605857,2025-07-04 12:14:51.692909,0 days 00:00:08.087052,identity,128,126,0.0004008580982584822,11,False,1.0000433568510124e-05,COMPLETE
120,1.6542342564207502e-05,2025-07-04 12:15:07.593654,2025-07-04 12:15:16.195636,0 days 00:00:08.601982,identity,64,119,0.00034944427588607974,10,False,1.1707339460185093e-05,COMPLETE
121,5.624572168017039e-06,2025-07-04 12:15:16.195953,2025-07-04 12:15:29.721448,0 days 00:00:13.525495,identity,32,123,0.00047651354780800477,11,False,1.3901648037051793e-05,COMPLETE
122,8.98220605449751e-06,2025-07-04 12:15:29.721746,2025-07-04 12:15:42.991417,0 days 00:00:13.269671,identity,32,118,0.0004946549459593012,11,False,1.2336716471823886e-05,COMPLETE
123,5.6500921346014366e-06,2025-07-04 12:15:42.991723,2025-07-04 12:15:56.133316,0 days 00:00:13.141593,identity,32,122,0.00038066703870761817,10,False,1.3938519910488665e-05,COMPLETE
124,4.191537300357595e-06,2025-07-04 12:16:06.761091,2025-07-04 12:16:19.242632,0 days 00:00:12.481541,identity,32,116,0.00038487484100903493,9,False,1.3608847359273412e-05,COMPLETE
125,6.760708401998272e-06,2025-07-04 12:16:19.242920,2025-07-04 12:16:32.059696,0 days 00:00:12.816776,identity,32,123,0.0004223593228155301,9,False,1.1385097765428093e-05,COMPLETE
