number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
104,0.00036210191319696605,2025-07-14 23:00:03.088827,2025-07-14 23:01:32.866544,0 days 00:01:29.777717,identity,prod,0.0028558941578428853,8,13,bell,COMPLETE
105,4.258082299202215e-06,2025-07-14 23:01:32.867480,2025-07-14 23:03:05.390434,0 days 00:01:32.522954,identity,prod,0.007165251842423562,8,14,bell,COMPLETE
106,1.3726602446695324e-05,2025-07-14 23:03:05.391392,2025-07-14 23:04:32.453164,0 days 00:01:27.061772,identity,prod,0.009366071033657318,8,12,bell,COMPLETE
107,0.00013255159137770534,2025-07-14 23:04:32.454111,2025-07-14 23:05:59.931928,0 days 00:01:27.477817,identity,prod,0.007683893598727127,8,14,sigmoid,COMPLETE
108,0.014159059152007103,2025-07-14 23:05:59.932936,2025-07-14 23:07:29.230169,0 days 00:01:29.297233,identity,prod,0.0004932982779224063,7,13,bell,COMPLETE
109,7.306909537874162e-05,2025-07-14 23:07:29.231123,2025-07-14 23:08:54.827203,0 days 00:01:25.596080,identity,prod,0.005843548169988152,6,11,bell,COMPLETE
110,3.5737296002480434e-06,2025-07-14 23:08:54.828116,2025-07-14 23:10:42.223319,0 days 00:01:47.395203,identity,prod,0.008418572382647716,9,18,bell,COMPLETE
111,4.050045390613377e-06,2025-07-14 23:10:42.224269,2025-07-14 23:12:31.818592,0 days 00:01:49.594323,identity,prod,0.008257417076918617,9,19,bell,COMPLETE
112,3.408736347410013e-06,2025-07-14 23:12:31.819485,2025-07-14 23:14:18.571764,0 days 00:01:46.752279,identity,prod,0.0064741141393768525,9,18,bell,COMPLETE
113,3.810343059740262e-06,2025-07-14 23:14:18.572678,2025-07-14 23:16:05.311675,0 days 00:01:46.738997,identity,prod,0.009975956716738914,9,18,bell,COMPLETE
114,3.554161821739399e-06,2025-07-14 23:16:05.312634,2025-07-14 23:17:49.306016,0 days 00:01:43.993382,identity,prod,0.008712362643836766,9,17,bell,COMPLETE
115,3.957805802201619e-06,2025-07-14 23:17:49.306955,2025-07-14 23:19:39.985116,0 days 00:01:50.678161,identity,prod,0.009081658497161927,9,19,bell,COMPLETE
116,5.01706927025225e-06,2025-07-14 23:19:39.986070,2025-07-14 23:21:33.194513,0 days 00:01:53.208443,identity,prod,0.007045882834958009,9,20,bell,COMPLETE
117,0.0068205175921320915,2025-07-14 23:21:33.195481,2025-07-14 23:23:18.034129,0 days 00:01:44.838648,identity,prod,0.008549838626022871,9,17,bell,COMPLETE
118,3.439499778323807e-06,2025-07-14 23:23:18.035012,2025-07-14 23:25:06.178450,0 days 00:01:48.143438,identity,prod,0.005369940459319784,9,18,bell,COMPLETE
119,3.6224810173735023e-06,2025-07-14 23:25:06.179381,2025-07-14 23:26:56.333588,0 days 00:01:50.154207,identity,prod,0.004769993563376568,9,19,bell,COMPLETE
120,2.4975677661132067e-05,2025-07-14 23:26:56.334559,2025-07-14 23:28:38.359998,0 days 00:01:42.025439,identity,prod,0.004610203944036682,9,18,gaussian,COMPLETE
121,3.910565737896832e-06,2025-07-14 23:28:38.360954,2025-07-14 23:30:27.861345,0 days 00:01:49.500391,identity,prod,0.005211165838710735,9,19,bell,COMPLETE
122,4.844568593398435e-06,2025-07-14 23:30:27.862325,2025-07-14 23:32:14.546907,0 days 00:01:46.684582,identity,prod,0.0036061002817552017,9,18,bell,COMPLETE
123,0.00021422813006211072,2025-07-14 23:32:14.547879,2025-07-14 23:33:58.260745,0 days 00:01:43.712866,identity,prod,0.005645203083152426,9,17,bell,COMPLETE
124,3.4272361517651007e-05,2025-07-14 23:33:58.261643,2025-07-14 23:35:48.640116,0 days 00:01:50.378473,identity,prod,0.004408191241730091,9,19,bell,COMPLETE
