number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
141,0.00501249311491847,2025-07-10 23:44:40.515616,2025-07-10 23:46:26.083699,0 days 00:01:45.568083,identity,prod,0.00045922176016441037,5,15,bell,COMPLETE
142,3.7639654237864306e-06,2025-07-10 23:46:26.084727,2025-07-10 23:48:07.533931,0 days 00:01:41.449204,identity,prod,0.006822704571362093,5,14,bell,COMPLETE
143,0.004864767659455538,2025-07-10 23:48:07.534841,2025-07-10 23:50:00.978944,0 days 00:01:53.444103,identity,prod,0.0048080446127104085,5,17,bell,COMPLETE
144,3.631016625149641e-06,2025-07-10 23:50:00.979878,2025-07-10 23:51:50.507218,0 days 00:01:49.527340,identity,prod,0.009453680853782155,5,16,bell,COMPLETE
145,0.0006102754268795252,2025-07-10 23:51:50.508366,2025-07-10 23:53:44.032444,0 days 00:01:53.524078,identity,prod,0.006360583342436448,5,17,bell,COMPLETE
146,0.00022878256277181208,2025-07-10 23:53:44.033416,2025-07-10 23:55:41.277991,0 days 00:01:57.244575,identity,prod,0.007749960898208926,9,15,bell,COMPLETE
147,3.5201412629248807e-06,2025-07-10 23:55:41.279036,2025-07-10 23:57:55.727428,0 days 00:02:14.448392,identity,prod,0.005884871970477566,9,19,bell,COMPLETE
148,9.139574103755876e-05,2025-07-10 23:57:55.728561,2025-07-10 23:59:40.936780,0 days 00:01:45.208219,identity,prod,0.005527901507990722,8,13,bell,COMPLETE
149,4.022604571218835e-06,2025-07-10 23:59:40.937807,2025-07-11 00:01:42.356383,0 days 00:02:01.418576,identity,prod,0.006987685544622957,5,19,bell,COMPLETE
150,0.012325020506978035,2025-07-11 00:01:42.357394,2025-07-11 00:03:39.727885,0 days 00:01:57.370491,relu,prod,0.005877464614356007,9,15,bell,COMPLETE
151,4.60397859569639e-06,2025-07-11 00:03:39.728932,2025-07-11 00:05:49.812613,0 days 00:02:10.083681,identity,prod,0.00988603164125075,9,18,bell,COMPLETE
152,3.757809736271156e-06,2025-07-11 00:05:49.813778,2025-07-11 00:08:08.596370,0 days 00:02:18.782592,identity,prod,0.008385588351203354,9,20,bell,COMPLETE
153,2.8533508157124743e-05,2025-07-11 00:08:08.597408,2025-07-11 00:10:22.961168,0 days 00:02:14.363760,identity,prod,0.005148658980738135,9,19,bell,COMPLETE
154,3.206492692697793e-05,2025-07-11 00:10:22.962129,2025-07-11 00:12:33.094008,0 days 00:02:10.131879,identity,prod,0.006166590920320522,9,18,bell,COMPLETE
155,9.462900925427675e-05,2025-07-11 00:12:33.094992,2025-07-11 00:14:38.937565,0 days 00:02:05.842573,identity,prod,0.0044900407810656,9,17,bell,COMPLETE
156,1.802342194423545e-05,2025-07-11 00:14:38.938485,2025-07-11 00:16:40.491867,0 days 00:02:01.553382,identity,prod,0.009091689014091743,9,16,bell,COMPLETE
157,0.03538227453827858,2025-07-11 00:16:40.540691,2025-07-11 00:18:48.306662,0 days 00:02:07.765971,identity,min,0.007091713483451639,9,18,bell,COMPLETE
