number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
80,5.108096047479194e-06,2025-07-04 12:13:28.554652,2025-07-04 12:13:53.562990,0 days 00:00:25.008338,relu,16,117,0.0020269811336622993,14,True,1.8785379830931204e-05,COMPLETE
81,4.726076440420002e-06,2025-07-04 12:13:53.563194,2025-07-04 12:14:18.625434,0 days 00:00:25.062240,relu,16,117,0.0014551900502033273,14,True,1.8803708094335085e-05,COMPLETE
82,6.683565516141243e-06,2025-07-04 12:14:18.625643,2025-07-04 12:14:42.191203,0 days 00:00:23.565560,relu,16,108,0.0008465146239043728,13,True,2.2143457275369715e-05,COMPLETE
83,4.509282916842494e-06,2025-07-04 12:14:42.191409,2025-07-04 12:15:08.456719,0 days 00:00:26.265310,relu,16,120,0.0014282268095087993,16,True,1.13118474373392e-05,COMPLETE
84,4.493198048294289e-06,2025-07-04 12:15:08.456968,2025-07-04 12:15:37.657743,0 days 00:00:29.200775,relu,16,116,0.0014265173452524351,18,True,1.135316373605552e-05,COMPLETE
85,5.402988790592644e-06,2025-07-04 12:15:37.657961,2025-07-04 12:16:05.256312,0 days 00:00:27.598351,relu,16,110,0.0014908346471481238,17,True,1.3171639877518413e-05,COMPLETE
86,9.235544894181658e-06,2025-07-04 12:16:05.256516,2025-07-04 12:16:34.527771,0 days 00:00:29.271255,relu,16,115,0.0021612888409293426,18,True,0.00014720286518054272,COMPLETE
87,6.236211902432842e-06,2025-07-04 12:16:34.527994,2025-07-04 12:16:40.629745,0 days 00:00:06.101751,identity,128,116,0.0011846009261124398,13,True,1.827334757650078e-05,COMPLETE
88,4.0412924136035144e-06,2025-07-04 12:16:40.630033,2025-07-04 12:17:09.743357,0 days 00:00:29.113324,relu,16,125,0.0009496645321760336,17,True,1.5147828378598824e-05,COMPLETE
89,4.3964519136352465e-06,2025-07-04 12:17:09.743617,2025-07-04 12:17:38.832744,0 days 00:00:29.089127,relu,16,125,0.0009829862977893998,17,True,1.5831449732952486e-05,COMPLETE
