number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_shuffle,params_size_layers,params_weight_decay,state
109,0.0012612649006769061,2025-07-01 21:18:48.486303,2025-07-01 21:18:58.400773,0 days 00:00:09.914470,relu,16,0.00019548889125443113,2,True,43,1.93733286706436e-05,COMPLETE
110,4.307712060835911e-06,2025-07-01 21:18:58.401122,2025-07-01 21:19:07.864221,0 days 00:00:09.463099,identity,16,0.00017717690628417065,2,True,54,1.5585590986998363e-05,COMPLETE
111,4.692953098128783e-06,2025-07-01 21:19:07.864559,2025-07-01 21:19:17.338985,0 days 00:00:09.474426,identity,16,0.00017680833787272053,2,True,54,1.5174182783931954e-05,COMPLETE
112,6.080852017475991e-06,2025-07-01 21:19:17.339328,2025-07-01 21:19:26.662904,0 days 00:00:09.323576,identity,16,0.00014913669141004753,2,True,35,1.7598395945313242e-05,COMPLETE
113,1.4652574463980272e-05,2025-07-01 21:19:26.663244,2025-07-01 21:19:36.069491,0 days 00:00:09.406247,identity,16,0.00022053060264636774,2,True,46,1.6234134114280514e-05,COMPLETE
114,4.375109256216092e-06,2025-07-01 21:19:36.069828,2025-07-01 21:19:45.566739,0 days 00:00:09.496911,identity,16,0.00015947101305494813,2,True,58,2.9496203562612998e-05,COMPLETE
115,4.317392267694231e-06,2025-07-01 21:19:45.567077,2025-07-01 21:19:55.047506,0 days 00:00:09.480429,identity,16,0.00012630234993252253,2,True,58,2.863026844263612e-05,COMPLETE
116,4.319272647990147e-06,2025-07-01 21:19:55.047841,2025-07-01 21:20:04.534198,0 days 00:00:09.486357,identity,16,0.00012599279890129024,2,True,58,2.9316674911427003e-05,COMPLETE
117,4.148577772866702e-06,2025-07-01 21:20:04.534540,2025-07-01 21:20:14.012310,0 days 00:00:09.477770,identity,16,0.00010006465080864516,2,True,57,3.260949434140285e-05,COMPLETE
118,5.045350008003879e-06,2025-07-01 21:20:14.012642,2025-07-01 21:20:23.471971,0 days 00:00:09.459329,identity,16,0.00010045829824139166,2,True,54,3.848928481723306e-05,COMPLETE
119,5.1387492021603975e-06,2025-07-01 21:20:23.472312,2025-07-01 21:20:32.921263,0 days 00:00:09.448951,identity,16,0.0001244204090279305,2,True,60,2.509736601278315e-05,COMPLETE
120,4.433449703356018e-06,2025-07-01 21:20:32.921598,2025-07-01 21:20:42.367004,0 days 00:00:09.445406,identity,16,0.0001100884800520793,2,True,54,3.181449875555241e-05,COMPLETE
121,4.175936737738084e-06,2025-07-01 21:20:42.367344,2025-07-01 21:20:51.851244,0 days 00:00:09.483900,identity,16,0.0001357746920788505,2,True,58,3.504856648399095e-05,COMPLETE
122,4.143819296587026e-06,2025-07-01 21:20:51.851582,2025-07-01 21:21:01.347169,0 days 00:00:09.495587,identity,16,0.00013193974061317132,2,True,57,3.330029749367224e-05,COMPLETE
123,5.192189291847171e-06,2025-07-01 21:21:01.347509,2025-07-01 21:21:10.771440,0 days 00:00:09.423931,identity,16,0.000135731036917664,2,True,56,3.483246261128407e-05,COMPLETE
124,5.102763225295348e-06,2025-07-01 21:21:10.771776,2025-07-01 21:21:20.285594,0 days 00:00:09.513818,identity,16,0.00012711536930938417,2,True,63,3.730783138287329e-05,COMPLETE
125,4.4172711568535306e-06,2025-07-01 21:21:20.285917,2025-07-01 21:21:29.726057,0 days 00:00:09.440140,identity,16,0.00011492268420528211,2,True,64,4.579936374207308e-05,COMPLETE
126,4.391818947624415e-06,2025-07-01 21:21:29.726394,2025-07-01 21:21:39.241627,0 days 00:00:09.515233,identity,16,0.00010068258614771647,2,True,68,3.406930464544782e-05,COMPLETE
127,8.470336069876794e-06,2025-07-01 21:21:39.241959,2025-07-01 21:21:48.757827,0 days 00:00:09.515868,identity,16,0.009680512151350212,2,True,59,2.7506108467033092e-05,COMPLETE
128,7.545334938185988e-06,2025-07-01 21:21:48.758162,2025-07-01 21:21:58.181051,0 days 00:00:09.422889,identity,16,0.0001364873349487452,2,True,50,4.165771172933488e-05,COMPLETE
129,0.05230019986629486,2025-07-01 21:21:58.181395,2025-07-01 21:22:08.010721,0 days 00:00:09.829326,sigmoid,16,0.00010923714474974643,2,True,42,2.3282586621654388e-05,COMPLETE
130,6.114731149864383e-06,2025-07-01 21:22:08.011067,2025-07-01 21:22:17.480159,0 days 00:00:09.469092,identity,16,0.00012431782521116316,2,True,57,3.1124642383823525e-05,COMPLETE
131,4.16165312344674e-06,2025-07-01 21:22:17.480499,2025-07-01 21:22:26.897011,0 days 00:00:09.416512,identity,16,0.0001750575333402532,2,True,52,2.140259068571483e-05,COMPLETE
132,1.3058906006335746e-05,2025-07-01 21:22:26.897357,2025-07-01 21:22:36.314595,0 days 00:00:09.417238,identity,16,0.00016793704141298372,2,True,52,2.106288752989767e-05,COMPLETE
133,4.942754458170384e-06,2025-07-01 21:22:36.314942,2025-07-01 21:22:45.759685,0 days 00:00:09.444743,identity,16,0.00014520093333045552,2,True,55,2.6611072928076924e-05,COMPLETE
134,5.394094841904007e-06,2025-07-01 21:22:45.760025,2025-07-01 21:22:55.262801,0 days 00:00:09.502776,identity,16,0.00013434217207616145,2,True,59,2.4531919635661395e-05,COMPLETE
135,5.3204184951027855e-06,2025-07-01 21:22:55.263143,2025-07-01 21:23:04.643924,0 days 00:00:09.380781,identity,16,0.00011142370043992009,2,True,48,4.9164591369246546e-05,COMPLETE
136,5.044799308961956e-06,2025-07-01 21:23:04.644271,2025-07-01 21:23:14.092179,0 days 00:00:09.447908,identity,16,0.00011776391965221299,2,True,53,1.8739301329440883e-05,COMPLETE
137,0.0005038417875766754,2025-07-01 21:23:14.092524,2025-07-01 21:23:24.105170,0 days 00:00:10.012646,relu,16,0.0001814416358422576,2,True,61,2.0658420186427923e-05,COMPLETE
138,9.761666660779156e-06,2025-07-01 21:23:24.105510,2025-07-01 21:23:33.509854,0 days 00:00:09.404344,identity,16,0.00020488041781354947,2,True,49,2.3582563201261848e-05,COMPLETE
139,7.43211376175168e-06,2025-07-01 21:23:33.510208,2025-07-01 21:23:42.821224,0 days 00:00:09.311016,identity,16,0.00014053638191778293,2,True,40,2.96750128855636e-05,COMPLETE
