number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,state
144,0.0005301833734847605,2025-07-12 19:31:15.187122,2025-07-12 19:31:23.767696,0 days 00:00:08.580574,identity,prod,64,0.004133378294392312,2,gaussian,COMPLETE
145,0.008567404001951218,2025-07-12 19:31:23.768076,2025-07-12 19:31:50.867950,0 days 00:00:27.099874,identity,prod,16,0.0037199420756692954,3,sigmoid,COMPLETE
146,0.00047138836816884577,2025-07-12 19:31:50.868402,2025-07-12 19:31:59.376787,0 days 00:00:08.508385,identity,min,64,0.004901931661970429,2,gaussian,COMPLETE
147,0.00037668252480216324,2025-07-12 19:31:59.377184,2025-07-12 19:32:29.139953,0 days 00:00:29.762769,relu,prod,16,0.00774097411688147,2,bell,COMPLETE
148,0.0004531453305389732,2025-07-12 19:32:29.140633,2025-07-12 19:32:58.917028,0 days 00:00:29.776395,relu,prod,16,0.00801142188057782,2,bell,COMPLETE
149,0.0004109705041628331,2025-07-12 19:32:58.917495,2025-07-12 19:33:28.696960,0 days 00:00:29.779465,relu,prod,16,0.00796403161923678,2,bell,COMPLETE
150,0.00046989964903332293,2025-07-12 19:33:28.697677,2025-07-12 19:33:58.438367,0 days 00:00:29.740690,relu,prod,16,0.007980845977397125,2,bell,COMPLETE
151,0.008292004466056824,2025-07-12 19:33:58.439079,2025-07-12 19:34:28.190993,0 days 00:00:29.751914,relu,prod,16,0.009496388646751073,2,bell,COMPLETE
152,1.244723916053772,2025-07-12 19:34:28.191672,2025-07-12 19:34:57.949376,0 days 00:00:29.757704,relu,prod,16,0.005813261113084432,2,bell,COMPLETE
153,0.00042999573634006083,2025-07-12 19:34:57.950106,2025-07-12 19:35:27.695645,0 days 00:00:29.745539,relu,prod,16,0.007567223851507707,2,bell,COMPLETE
154,0.0007262477884069085,2025-07-12 19:35:27.696333,2025-07-12 19:35:57.452532,0 days 00:00:29.756199,relu,prod,16,0.007453476079831452,2,bell,COMPLETE
