number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
71,0.8675,2025-10-01 09:32:04.599548,2025-10-01 09:32:27.446172,0 days 00:00:22.846624,frank,0.0007510358512030427,3,5,sigmoid,COMPLETE
72,0.8808333333333334,2025-10-01 09:32:27.446686,2025-10-01 09:32:50.217959,0 days 00:00:22.771273,frank,0.000574072188194998,3,5,sigmoid,COMPLETE
73,0.8808333333333334,2025-10-01 09:32:50.218370,2025-10-01 09:33:13.030349,0 days 00:00:22.811979,frank,0.0005905727829606915,3,5,sigmoid,COMPLETE
74,0.8416666666666666,2025-10-01 09:33:13.030843,2025-10-01 09:33:35.800445,0 days 00:00:22.769602,frank,0.00032032105870894394,3,5,sigmoid,COMPLETE
75,0.8941666666666667,2025-10-01 09:33:35.800851,2025-10-01 09:33:58.709522,0 days 00:00:22.908671,frank,0.0005682916160162096,3,5,sigmoid,COMPLETE
76,0.8675,2025-10-01 09:33:58.709935,2025-10-01 09:34:21.567048,0 days 00:00:22.857113,frank,0.00045683086364967015,3,5,sigmoid,COMPLETE
77,0.8808333333333334,2025-10-01 09:34:21.567447,2025-10-01 09:34:44.424103,0 days 00:00:22.856656,frank,0.0005125576080665536,3,5,sigmoid,COMPLETE
78,0.8675,2025-10-01 09:34:44.424527,2025-10-01 09:35:07.204643,0 days 00:00:22.780116,frank,0.0003489484545364462,3,5,sigmoid,COMPLETE
79,0.8675,2025-10-01 09:35:07.205142,2025-10-01 09:35:29.999372,0 days 00:00:22.794230,frank,0.0004125099398733184,3,5,sigmoid,COMPLETE
80,0.8808333333333334,2025-10-01 09:35:29.999798,2025-10-01 09:35:52.828290,0 days 00:00:22.828492,frank,0.0006528546525174689,3,5,sigmoid,COMPLETE
81,0.8808333333333334,2025-10-01 09:35:52.828717,2025-10-01 09:36:15.569540,0 days 00:00:22.740823,frank,0.0006720925536727115,3,5,sigmoid,COMPLETE
82,0.8808333333333334,2025-10-01 09:36:15.569943,2025-10-01 09:36:38.563573,0 days 00:00:22.993630,frank,0.0006234768288047792,3,5,sigmoid,COMPLETE
83,0.8941666666666668,2025-10-01 09:36:38.563991,2025-10-01 09:37:01.299164,0 days 00:00:22.735173,frank,0.0002549140257956857,3,5,sigmoid,COMPLETE
84,0.8950000000000001,2025-10-01 09:37:01.299581,2025-10-01 09:37:23.930223,0 days 00:00:22.630642,frank,0.0002656301890986502,3,5,sigmoid,COMPLETE
85,0.8675,2025-10-01 09:37:23.930650,2025-10-01 09:37:46.704667,0 days 00:00:22.774017,frank,0.00025991038582715074,3,5,sigmoid,COMPLETE
86,0.8141666666666667,2025-10-01 09:37:46.705183,2025-10-01 09:38:09.445711,0 days 00:00:22.740528,frank,0.00023381524618335317,3,5,sigmoid,COMPLETE
87,0.8683333333333334,2025-10-01 09:38:09.446109,2025-10-01 09:38:32.245681,0 days 00:00:22.799572,frank,0.00043485027798483104,3,5,sigmoid,COMPLETE
88,0.8016666666666665,2025-10-01 09:38:32.246092,2025-10-01 09:38:55.035515,0 days 00:00:22.789423,frank,9.836827084327492e-05,3,5,sigmoid,COMPLETE
