number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
89,0.6836363636363637,2025-10-01 11:24:01.565718,2025-10-01 11:24:15.384419,0 days 00:00:13.818701,prod,0.0006236163268306177,2,3,sigmoid,COMPLETE
90,0.7109090909090909,2025-10-01 11:24:15.384832,2025-10-01 11:24:30.325142,0 days 00:00:14.940310,prod,0.0007336222566759897,4,4,gaussian,COMPLETE
91,0.7236363636363636,2025-10-01 11:24:30.325467,2025-10-01 11:24:47.813607,0 days 00:00:17.488140,prod,0.00017071946621348164,3,4,bell,COMPLETE
92,0.82,2025-10-01 11:24:47.814026,2025-10-01 11:25:05.318512,0 days 00:00:17.504486,prod,0.00032496746894591455,3,4,bell,COMPLETE
93,0.8399999999999999,2025-10-01 11:25:05.318948,2025-10-01 11:25:22.809918,0 days 00:00:17.490970,prod,0.00019310191337123416,3,4,bell,COMPLETE
94,0.7054545454545454,2025-10-01 11:25:22.810332,2025-10-01 11:25:40.310589,0 days 00:00:17.500257,prod,0.00014131225470135375,3,4,bell,COMPLETE
95,0.7254545454545454,2025-10-01 11:25:40.311012,2025-10-01 11:25:57.809472,0 days 00:00:17.498460,prod,0.0003711016328056581,3,4,bell,COMPLETE
96,0.7672727272727272,2025-10-01 11:25:57.809884,2025-10-01 11:26:15.336078,0 days 00:00:17.526194,prod,0.00021866729177183686,3,5,bell,COMPLETE
97,0.6272727272727272,2025-10-01 11:26:15.336503,2025-10-01 11:26:32.986379,0 days 00:00:17.649876,luka,0.0002540861313940303,3,5,bell,COMPLETE
98,0.82,2025-10-01 11:26:32.986704,2025-10-01 11:26:46.744781,0 days 00:00:13.758077,min,0.0008962154852292421,3,5,sigmoid,COMPLETE
99,0.5418181818181818,2025-10-01 11:26:46.745189,2025-10-01 11:27:04.217080,0 days 00:00:17.471891,prod,5.617390858817398e-05,4,2,bell,COMPLETE
100,0.74,2025-10-01 11:27:04.217518,2025-10-01 11:27:19.084945,0 days 00:00:14.867427,prod,0.0005413500389136929,2,4,gaussian,COMPLETE
101,0.8399999999999999,2025-10-01 11:27:19.085363,2025-10-01 11:27:36.498168,0 days 00:00:17.412805,min,0.0006375669492276735,3,5,bell,COMPLETE
102,0.8400000000000001,2025-10-01 11:27:36.498629,2025-10-01 11:27:53.890159,0 days 00:00:17.391530,min,0.0007825654966779069,3,5,bell,COMPLETE
103,0.7472727272727273,2025-10-01 11:27:53.890484,2025-10-01 11:28:11.289731,0 days 00:00:17.399247,min,0.0004357798196914262,3,5,bell,COMPLETE
104,0.8399999999999999,2025-10-01 11:28:11.290148,2025-10-01 11:28:28.696625,0 days 00:00:17.406477,min,0.0007758107117066072,3,5,bell,COMPLETE
105,0.8218181818181817,2025-10-01 11:28:28.697059,2025-10-01 11:28:47.035974,0 days 00:00:18.338915,hamacher,0.0007051450950958415,5,5,bell,COMPLETE
106,0.8399999999999999,2025-10-01 11:28:47.036390,2025-10-01 11:29:04.452567,0 days 00:00:17.416177,min,0.0005731217331976402,3,5,bell,COMPLETE
107,0.7109090909090909,2025-10-01 11:29:04.452998,2025-10-01 11:29:21.981009,0 days 00:00:17.528011,prod,0.0002980602561265951,3,5,bell,COMPLETE
108,0.8036363636363635,2025-10-01 11:29:21.981418,2025-10-01 11:29:37.052120,0 days 00:00:15.070702,frank,0.0008587082776157208,4,4,sigmoid,COMPLETE
109,0.7836363636363636,2025-10-01 11:29:37.052558,2025-10-01 11:29:54.590809,0 days 00:00:17.538251,prod,0.0009573246795620718,3,5,bell,COMPLETE
110,0.7036363636363636,2025-10-01 11:29:54.591217,2025-10-01 11:30:09.699924,0 days 00:00:15.108707,prod,0.00048426493447201435,3,4,gaussian,COMPLETE
111,0.78,2025-10-01 11:30:09.700241,2025-10-01 11:30:27.104101,0 days 00:00:17.403860,min,0.0006667930111876062,3,5,bell,COMPLETE
112,0.82,2025-10-01 11:30:27.104534,2025-10-01 11:30:44.502896,0 days 00:00:17.398362,min,0.0007933885720806264,3,5,bell,COMPLETE
113,0.8399999999999999,2025-10-01 11:30:44.503308,2025-10-01 11:31:01.911122,0 days 00:00:17.407814,min,0.0006854265748901906,3,5,bell,COMPLETE
114,0.8,2025-10-01 11:31:01.911562,2025-10-01 11:31:19.314089,0 days 00:00:17.402527,min,0.000858600449729199,3,5,bell,COMPLETE
115,0.7672727272727272,2025-10-01 11:31:19.314510,2025-10-01 11:31:36.850768,0 days 00:00:17.536258,prod,0.00035594324915159373,3,5,bell,COMPLETE
116,0.7436363636363638,2025-10-01 11:31:36.851201,2025-10-01 11:31:54.367088,0 days 00:00:17.515887,prod,0.0007328253493326151,3,5,bell,COMPLETE
117,0.8036363636363635,2025-10-01 11:31:54.367406,2025-10-01 11:32:11.760143,0 days 00:00:17.392737,min,0.0005348535650181034,3,5,bell,COMPLETE
118,0.6690909090909092,2025-10-01 11:32:11.760565,2025-10-01 11:32:25.514195,0 days 00:00:13.753630,prod,0.0006395942686174001,4,4,sigmoid,COMPLETE
119,0.5072727272727272,2025-10-01 11:32:25.514644,2025-10-01 11:32:43.176193,0 days 00:00:17.661549,luka,3.228968862599988e-05,3,5,bell,COMPLETE
120,0.8399999999999999,2025-10-01 11:32:43.176622,2025-10-01 11:33:00.677992,0 days 00:00:17.501370,prod,0.0002772100033279947,2,5,bell,COMPLETE
121,0.8399999999999999,2025-10-01 11:33:00.678426,2025-10-01 11:33:14.540535,0 days 00:00:13.862109,prod,0.0008784356973187381,2,5,sigmoid,COMPLETE
122,0.7854545454545454,2025-10-01 11:33:14.540851,2025-10-01 11:33:28.395488,0 days 00:00:13.854637,prod,0.0008156425204656804,2,5,sigmoid,COMPLETE
123,0.8399999999999999,2025-10-01 11:33:28.395893,2025-10-01 11:33:42.247327,0 days 00:00:13.851434,prod,0.0009307004690830061,2,5,sigmoid,COMPLETE
124,0.7472727272727273,2025-10-01 11:33:42.247765,2025-10-01 11:33:56.100604,0 days 00:00:13.852839,prod,0.00015455152688750385,2,5,sigmoid,COMPLETE
125,0.3127272727272728,2025-10-01 11:33:56.101009,2025-10-01 11:34:09.940657,0 days 00:00:13.839648,prod,1.3571027726655894e-05,2,4,sigmoid,COMPLETE
126,0.8218181818181817,2025-10-01 11:34:09.940976,2025-10-01 11:34:25.142552,0 days 00:00:15.201576,prod,0.0007642717817971542,3,5,gaussian,COMPLETE
127,0.82,2025-10-01 11:34:25.142981,2025-10-01 11:34:42.664981,0 days 00:00:17.522000,prod,0.0009708706266415065,3,5,bell,COMPLETE
128,0.8218181818181817,2025-10-01 11:34:42.665391,2025-10-01 11:35:00.160756,0 days 00:00:17.495365,prod,0.000586258187269267,3,4,bell,COMPLETE
129,0.749090909090909,2025-10-01 11:35:00.161191,2025-10-01 11:35:18.407382,0 days 00:00:18.246191,hamacher,0.0003916067927795225,4,4,bell,COMPLETE
130,0.72,2025-10-01 11:35:18.407803,2025-10-01 11:35:33.748619,0 days 00:00:15.340816,frank,0.00023434564142645913,3,5,sigmoid,COMPLETE
131,0.8036363636363635,2025-10-01 11:35:33.748940,2025-10-01 11:35:47.600758,0 days 00:00:13.851818,prod,0.0007485604934174838,2,5,sigmoid,COMPLETE
132,0.8399999999999999,2025-10-01 11:35:47.601197,2025-10-01 11:36:01.471560,0 days 00:00:13.870363,prod,0.0009950885757462607,2,5,sigmoid,COMPLETE
133,0.8399999999999999,2025-10-01 11:36:01.471967,2025-10-01 11:36:15.323438,0 days 00:00:13.851471,prod,0.0006912112812151445,2,5,sigmoid,COMPLETE
134,0.8399999999999999,2025-10-01 11:36:15.323879,2025-10-01 11:36:29.174414,0 days 00:00:13.850535,prod,0.0008547953162179337,2,5,sigmoid,COMPLETE
135,0.78,2025-10-01 11:36:29.174739,2025-10-01 11:36:46.629886,0 days 00:00:17.455147,prod,0.0006462413098702757,2,3,bell,COMPLETE
136,0.8399999999999999,2025-10-01 11:36:46.630305,2025-10-01 11:37:01.797000,0 days 00:00:15.166695,prod,0.0007726825154909288,2,5,gaussian,COMPLETE
