number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
75,0.7125,2025-10-01 12:30:29.579779,2025-10-01 12:30:40.936182,0 days 00:00:11.356403,relu,15,0.000452940736777776,2,COMPLETE
76,0.8283333333333334,2025-10-01 12:30:40.936523,2025-10-01 12:30:54.220897,0 days 00:00:13.284374,tanh,9,0.00025275505974844015,3,COMPLETE
77,0.8675,2025-10-01 12:30:54.221265,2025-10-01 12:31:07.995303,0 days 00:00:13.774038,tanh,39,0.00018638765597083417,3,COMPLETE
78,0.8300000000000001,2025-10-01 12:31:07.995594,2025-10-01 12:31:21.732818,0 days 00:00:13.737224,tanh,36,2.697971490263462e-05,3,COMPLETE
79,0.8941666666666667,2025-10-01 12:31:21.733191,2025-10-01 12:31:35.442421,0 days 00:00:13.709230,tanh,30,0.00012558795475234877,3,COMPLETE
80,0.8416666666666668,2025-10-01 12:31:35.442812,2025-10-01 12:31:46.929523,0 days 00:00:11.486711,tanh,33,0.00010975366714652333,2,COMPLETE
81,0.8808333333333334,2025-10-01 12:31:46.929810,2025-10-01 12:31:58.348276,0 days 00:00:11.418466,tanh,19,0.0008190963755831349,2,COMPLETE
82,0.8550000000000001,2025-10-01 12:31:58.348629,2025-10-01 12:32:09.764416,0 days 00:00:11.415787,tanh,24,0.0005776632084430049,2,COMPLETE
83,0.8808333333333334,2025-10-01 12:32:09.764680,2025-10-01 12:32:18.926816,0 days 00:00:09.162136,tanh,28,0.0009603539093346322,1,COMPLETE
84,0.8675,2025-10-01 12:32:18.927178,2025-10-01 12:32:32.574857,0 days 00:00:13.647679,tanh,22,0.0006811721628103661,3,COMPLETE
85,0.8941666666666667,2025-10-01 12:32:32.575124,2025-10-01 12:32:46.405485,0 days 00:00:13.830361,tanh,44,3.926234129132141e-05,3,COMPLETE
86,0.7241666666666667,2025-10-01 12:32:46.405849,2025-10-01 12:32:57.876400,0 days 00:00:11.470551,sigmoid,40,0.0004935913404979569,2,COMPLETE
87,0.8816666666666666,2025-10-01 12:32:57.876798,2025-10-01 12:33:13.448479,0 days 00:00:15.571681,tanh,14,0.0004124193311293861,4,COMPLETE
88,0.8808333333333334,2025-10-01 12:33:13.448773,2025-10-01 12:33:27.202780,0 days 00:00:13.754007,tanh,37,0.000790623518416962,3,COMPLETE
89,0.8550000000000001,2025-10-01 12:33:27.203158,2025-10-01 12:33:41.099442,0 days 00:00:13.896284,relu,35,0.0003047044628304692,3,COMPLETE
90,0.8941666666666667,2025-10-01 12:33:41.099835,2025-10-01 12:33:54.745143,0 days 00:00:13.645308,tanh,18,0.00015695223223313626,3,COMPLETE
91,0.8416666666666668,2025-10-01 12:33:54.745508,2025-10-01 12:34:08.454305,0 days 00:00:13.708797,tanh,33,8.012433590966421e-05,3,COMPLETE
92,0.8941666666666667,2025-10-01 12:34:08.454611,2025-10-01 12:34:22.156494,0 days 00:00:13.701883,tanh,29,0.00011549468718945926,3,COMPLETE
93,0.8141666666666666,2025-10-01 12:34:22.156888,2025-10-01 12:34:35.820840,0 days 00:00:13.663952,tanh,26,4.877316299260297e-05,3,COMPLETE
94,0.8675,2025-10-01 12:34:35.821203,2025-10-01 12:34:49.483580,0 days 00:00:13.662377,tanh,24,8.912970447338043e-05,3,COMPLETE
95,0.9075000000000001,2025-10-01 12:34:49.483874,2025-10-01 12:35:03.166799,0 days 00:00:13.682925,tanh,27,0.0001383825215426952,3,COMPLETE
96,0.8550000000000001,2025-10-01 12:35:03.167198,2025-10-01 12:35:17.074330,0 days 00:00:13.907132,tanh,46,0.00014762356181209494,3,COMPLETE
97,0.8541666666666667,2025-10-01 12:35:17.074690,2025-10-01 12:35:30.730699,0 days 00:00:13.656009,tanh,21,0.00013051641359254884,3,COMPLETE
98,0.8675,2025-10-01 12:35:30.730995,2025-10-01 12:35:42.206843,0 days 00:00:11.475848,tanh,27,9.727934667010244e-05,2,COMPLETE
99,0.8675,2025-10-01 12:35:42.207228,2025-10-01 12:35:55.991550,0 days 00:00:13.784322,tanh,41,0.00053208880282857,3,COMPLETE
100,0.4625,2025-10-01 12:35:55.991920,2025-10-01 12:36:09.688608,0 days 00:00:13.696688,sigmoid,35,1.0023203098513705e-05,3,COMPLETE
101,0.8808333333333334,2025-10-01 12:36:09.688900,2025-10-01 12:36:23.415537,0 days 00:00:13.726637,tanh,30,0.00018996830957491173,3,COMPLETE
102,0.6675,2025-10-01 12:36:23.415928,2025-10-01 12:36:37.088872,0 days 00:00:13.672944,tanh,28,2.1547553238142766e-05,3,COMPLETE
103,0.8941666666666667,2025-10-01 12:36:37.089237,2025-10-01 12:36:50.753978,0 days 00:00:13.664741,tanh,25,0.00016257524001636513,3,COMPLETE
104,0.8675,2025-10-01 12:36:50.754259,2025-10-01 12:37:04.418681,0 days 00:00:13.664422,tanh,32,0.00023691295608577453,3,COMPLETE
105,0.8550000000000001,2025-10-01 12:37:04.419098,2025-10-01 12:37:18.288810,0 days 00:00:13.869712,tanh,48,0.00011729882451563541,3,COMPLETE
106,0.7783333333333333,2025-10-01 12:37:18.289190,2025-10-01 12:37:27.445623,0 days 00:00:09.156433,tanh,23,7.153254535525137e-05,1,COMPLETE
107,0.8550000000000001,2025-10-01 12:37:27.445895,2025-10-01 12:37:41.284028,0 days 00:00:13.838133,relu,30,5.866150139556766e-05,3,COMPLETE
108,0.8808333333333334,2025-10-01 12:37:41.284412,2025-10-01 12:37:55.240315,0 days 00:00:13.955903,tanh,52,2.693665626583363e-05,3,COMPLETE
109,0.9075000000000001,2025-10-01 12:37:55.240678,2025-10-01 12:38:09.071739,0 days 00:00:13.831061,tanh,43,0.0001354544748611146,3,COMPLETE
110,0.8808333333333334,2025-10-01 12:38:09.072035,2025-10-01 12:38:22.870499,0 days 00:00:13.798464,tanh,43,0.00014222583834677113,3,COMPLETE
111,0.8808333333333334,2025-10-01 12:38:22.870909,2025-10-01 12:38:36.708245,0 days 00:00:13.837336,tanh,45,0.00010483120910912724,3,COMPLETE
